seed,variant,investor,feature,context,mean,std,positive_rate,negative_rate,dominant_direction,direction_consistency
43,e7_persistence_liquidity,institution,herd,fx_level_z_252,-0.0016505737395669,0.0012878299145218,0.0666666666666666,0.9333333333333332,negative,0.9333333333333332
43,e7_persistence_liquidity,institution,herd,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
43,e7_persistence_liquidity,institution,momentum,kospi_return_1d,-0.0001662363521366,0.0005174811444166,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
43,e7_persistence_liquidity,institution,momentum,fx_level_z_252,0.0002620732307857,0.0004194897353299,0.7777777777777778,0.2222222222222222,positive,0.7777777777777778
43,e7_persistence_liquidity,institution,momentum,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
43,e7_persistence_liquidity,institution,volatility,kospi_return_1d,-0.0004304856200987,0.000747448258737,0.1777777777777777,0.8222222222222222,negative,0.8222222222222222
43,e7_persistence_liquidity,institution,volatility,fx_level_z_252,0.0043897990033858,0.0003969407203515,1.0,0.0,positive,1.0
43,e7_persistence_liquidity,institution,volatility,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
43,e7_persistence_liquidity,institution,execution_persistence_3,kospi_return_1d,0.0,0.0,0.0,0.0,zero,1.0
43,e7_persistence_liquidity,institution,execution_persistence_3,fx_level_z_252,0.0,0.0,0.0,0.0,zero,1.0
43,e7_persistence_liquidity,institution,execution_persistence_3,liquidity_capacity_20,0.0010105721528008,0.0010911315887991,0.9111111111111112,0.0888888888888888,positive,0.9111111111111112
44,e0_baseline,institution,underwater,kospi_return_1d,0.0031321936054155,0.000980239921619,1.0,0.0,positive,1.0
44,e0_baseline,institution,underwater,fx_level_z_252,0.0004849809044066,0.0006213029081477,0.8222222222222222,0.1777777777777777,positive,0.8222222222222222
44,e0_baseline,institution,herd,kospi_return_1d,-0.0003940893377956,0.0006937291707889,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
