seed,variant,year,n,rmse,direction_accuracy,balanced_accuracy,macro_f1,pearson,std_ratio
43,e7_persistence_liquidity,2022,243,0.1321508770960525,0.588477366255144,0.5394088669950738,0.527972027972028,0.1454304643333585,0.0791990889382772
43,e7_persistence_liquidity,2023,245,0.1141602289610662,0.5591836734693878,0.5590640922499329,0.5582932692307692,0.1415401339882362,0.0591614688448362
43,e7_persistence_liquidity,2024,244,0.1245815381065296,0.5368852459016393,0.5355419639823309,0.5346262258004625,0.1062681952720456,0.1115805987954147
43,e7_persistence_liquidity,2025,241,0.1264532477007861,0.5477178423236515,0.5478994490358127,0.5469377899656784,0.1274132223589101,0.0920131566897148
44,e0_baseline,2022,243,0.1326479205510848,0.5925925925925926,0.5362420830401126,0.5172476070074047,0.1371357831339113,0.0583380973144836
44,e0_baseline,2023,245,0.1150123569775048,0.5102040816326531,0.5097881469562886,0.5092147435897436,-0.0073066195154279,0.0361482342236966
44,e0_baseline,2024,244,0.1250793918005582,0.5327868852459017,0.5291879034998301,0.528957528957529,0.0651048977557199,0.0917804367056978
44,e0_baseline,2025,241,0.1273164061657808,0.5394190871369294,0.5397038567493113,0.5373800259403372,0.0529909615693519,0.0795059555689024
44,e1_persistence,2022,243,0.1321029858032245,0.5843621399176955,0.5343068261787474,0.5216255725562811,0.1495666618380459,0.0796869196886546
44,e1_persistence,2023,245,0.1142017939839443,0.5510204081632653,0.5508514347009922,0.5501135149572649,0.1367249662945226,0.0579310202743175
44,e1_persistence,2024,244,0.1246134694653194,0.5204918032786885,0.5198436969079171,0.5186727588474314,0.104304090513977,0.1079014749040769
44,e1_persistence,2025,241,0.1264684107419436,0.5435684647302904,0.543870523415978,0.5412859911406422,0.1262044165741326,0.0916736168816143
44,e7_persistence_liquidity,2022,243,0.1321508769183275,0.588477366255144,0.5394088669950738,0.527972027972028,0.1454304794467755,0.0791990883971553
44,e7_persistence_liquidity,2023,245,0.1141602289837928,0.5591836734693878,0.5590640922499329,0.5582932692307692,0.1415401334145726,0.0591614669735429
44,e7_persistence_liquidity,2024,244,0.1245815382239988,0.5368852459016393,0.5355419639823309,0.5346262258004625,0.106268186242106,0.1115806007965989
44,e7_persistence_liquidity,2025,241,0.1264532476223774,0.5477178423236515,0.5478994490358127,0.5469377899656784,0.1274132290257038,0.0920131582636373
45,e0_baseline,2022,243,0.1326479205360166,0.5925925925925926,0.5362420830401126,0.5172476070074047,0.1371357793645877,0.0583381001056844
45,e0_baseline,2023,245,0.1150123569657746,0.5102040816326531,0.5097881469562886,0.5092147435897436,-0.0073066146737162,0.0361482358049326
45,e0_baseline,2024,244,0.1250793919605037,0.5327868852459017,0.5291879034998301,0.528957528957529,0.0651048857004934,0.0917804430947428
45,e0_baseline,2025,241,0.1273164061752948,0.5394190871369294,0.5397038567493113,0.5373800259403372,0.052990959860011,0.0795059569016446
45,e1_persistence,2022,243,0.1321029858548553,0.5843621399176955,0.5343068261787474,0.5216255725562811,0.1495666545479161,0.079686920251127
45,e1_persistence,2023,245,0.1142017939669537,0.5510204081632653,0.5508514347009922,0.5501135149572649,0.1367249691238669,0.0579310207397993
45,e1_persistence,2024,244,0.1246134694496737,0.5204918032786885,0.5198436969079171,0.5186727588474314,0.1043040928696925,0.1079014764326908
45,e1_persistence,2025,241,0.1264684107993469,0.5435684647302904,0.543870523415978,0.5412859911406422,0.1262044119985905,0.0916736171521713
45,e7_persistence_liquidity,2022,243,0.1321508770123861,0.588477366255144,0.5394088669950738,0.527972027972028,0.1454304674113865,0.0791990903642133
45,e7_persistence_liquidity,2023,245,0.1141602289802599,0.5591836734693878,0.5590640922499329,0.5582932692307692,0.1415401317822515,0.0591614691628847
45,e7_persistence_liquidity,2024,244,0.1245815380987852,0.5368852459016393,0.5355419639823309,0.5346262258004625,0.1062681962404278,0.1115806005830826
45,e7_persistence_liquidity,2025,241,0.1264532476526303,0.5477178423236515,0.5478994490358127,0.5469377899656784,0.1274132258949634,0.0920131580737817
46,e0_baseline,2022,243,0.1326479205772181,0.5925925925925926,0.5362420830401126,0.5172476070074047,0.1371357828832134,0.0583380965173306
46,e0_baseline,2023,245,0.1150123569519478,0.5102040816326531,0.5097881469562886,0.5092147435897436,-0.0073066109223234,0.0361482362125652
46,e0_baseline,2024,244,0.1250793919635444,0.5327868852459017,0.5291879034998301,0.528957528957529,0.0651048869949959,0.0917804405112798
46,e0_baseline,2025,241,0.1273164061288715,0.5394190871369294,0.5397038567493113,0.5373800259403372,0.0529909628378086,0.0795059558930973
46,e1_persistence,2022,243,0.1321029859048535,0.5843621399176955,0.5343068261787474,0.5216255725562811,0.1495666573484124,0.0796869184866341
46,e1_persistence,2023,245,0.1142017939053042,0.5510204081632653,0.5508514347009922,0.5501135149572649,0.1367249795180327,0.05793101867689
46,e1_persistence,2024,244,0.1246134694825438,0.5204918032786885,0.5198436969079171,0.5186727588474314,0.1043040874935405,0.1079014738770803
46,e1_persistence,2025,241,0.1264684107783484,0.5435684647302904,0.543870523415978,0.5412859911406422,0.1262044141910734,0.0916736145394762
46,e7_persistence_liquidity,2022,243,0.1321508770042888,0.588477366255144,0.5394088669950738,0.527972027972028,0.1454304683095636,0.0791990903936133
