experiment,epochs,batch_size,learning_rate,lambda_l1,investor,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,accuracy_rank,nll_rank
ep_35_bs_512_lr_0p00075_l1_0p0003,35,512,0.00075,0.0003,retail,0.59889231950041,0.05094261792104633,0.5856256440797325,0.05319101909386299,0.6777126285764906,0.015484253831705643,13.0,8.0
ep_20_bs_512_lr_0p0005_l1_0p0003,20,512,0.0005,0.0003,retail,0.598888830742931,0.049891708590326614,0.5872400226847779,0.05194945429296026,0.6834481716156006,0.006439187097146306,14.0,24.0
ep_25_bs_512_lr_0p0005_l1_0p0003,25,512,0.0005,0.0003,retail,0.5987760275844425,0.04958595284458424,0.5866634287736099,0.052013412107550804,0.6819462696711223,0.007911049949618311,15.0,22.0
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,retail,0.5987742832057029,0.049615158529632934,0.5865428932221741,0.05177930394608574,0.6807312766710917,0.009335180630392894,16.0,21.0
ep_15_bs_512_lr_0p00075_l1_0p0003,15,512,0.00075,0.0003,retail,0.5986614800472145,0.04975048963997256,0.5868535435586356,0.05163763603136503,0.6826118164592319,0.007301306621572371,17.0,23.0
ep_15_bs_512_lr_0p0005_l1_0p0003,15,512,0.0005,0.0003,retail,0.5984358737302377,0.049770537818127014,0.5869919322198176,0.051737541662539806,0.6852625290552775,0.0049144241503265435,18.0,25.0
ep_15_bs_512_lr_0p001_l1_0p0003,15,512,0.001,0.0003,retail,0.5980887423610748,0.04970132479905719,0.5860058566624461,0.05185734223932108,0.6806637710995145,0.009722563258293297,19.0,19.0
ep_35_bs_512_lr_0p001_l1_0p0003,35,512,0.001,0.0003,retail,0.5978596472866188,0.0524846816710555,0.5840234658056593,0.05467123418001579,0.6772034525871277,0.019612094815468696,20.0,1.0
ep_25_bs_512_lr_0p0015_l1_0p0003,25,512,0.0015,0.0003,retail,0.5973997127589675,0.05293710363834335,0.583400914010401,0.055496994261880615,0.6774831016858419,0.021658854009034577,21.0,5.0
ep_30_bs_512_lr_0p00125_l1_0p0003,30,512,0.00125,0.0003,retail,0.5971706176845116,0.05294179860341122,0.5831393878298001,0.05535127417102603,0.6773564457893372,0.02108858328493272,22.0,2.0
ep_35_bs_512_lr_0p00125_l1_0p0003,35,512,0.00125,0.0003,retail,0.5964780993249253,0.051514483955595596,0.5817718895608441,0.05450609592550375,0.6775395817226834,0.022912245221144687,23.0,6.0
ep_30_bs_512_lr_0p0015_l1_0p0003,30,512,0.0015,0.0003,retail,0.5961344567132416,0.051995408114276526,0.581395978305019,0.05504799115357633,0.6778136200375027,0.023869268463877776,24.0,9.0
ep_35_bs_512_lr_0p0015_l1_0p0003,35,512,0.0015,0.0003,retail,0.5956745221855902,0.05029655022999334,0.5802596337161802,0.05382247440468049,0.6782937341266209,0.02541678796597618,25.0,12.0
