experiment,epochs,batch_size,learning_rate,lambda_l1,split,investor,train_size,test_size,train_nll,accuracy,macro_f1,nll
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,17,foreign,772,194,0.6649483874671818,0.654639175257732,0.607867982019489,0.6808547377586365
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,17,institution,772,194,0.6879589461909674,0.5567010309278351,0.5566539115646258,0.6902349591255188
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,17,retail,772,194,0.6775303081527275,0.6082474226804123,0.5604054859868813,0.6789558529853821
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,18,foreign,765,194,0.6662617830669179,0.6804123711340206,0.6736133724085531,0.6705940365791321
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,18,institution,765,194,0.688656436695772,0.5103092783505154,0.5055667337357478,0.6910258531570435
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,18,retail,765,194,0.6784616714209513,0.654639175257732,0.6455896387184731,0.6739159226417542
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,19,foreign,765,194,0.6662851450490016,0.6597938144329897,0.650278597181252,0.6707967519760132
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,19,institution,765,194,0.6899532371097141,0.5824742268041238,0.5823743588380684,0.6856049299240112
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,19,retail,765,194,0.674102832289303,0.520618556701031,0.5111496464085404,0.6876763701438904
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,20,foreign,765,194,0.669955423299004,0.6855670103092784,0.6831338527860337,0.6491751074790955
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,20,institution,765,194,0.6862854441006978,0.5309278350515464,0.5186366734832992,0.6994191408157349
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,20,retail,765,194,0.6803367208032047,0.6649484536082474,0.6638677862188458,0.6643275022506714
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,21,foreign,765,194,0.6661526524942685,0.6701030927835051,0.6695411476631534,0.6680700778961182
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,21,institution,765,194,0.6885082736513973,0.5103092783505154,0.5099837813405652,0.694962203502655
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,21,retail,765,194,0.6759282271067302,0.6082474226804123,0.608080808080808,0.6809756755828857
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,22,foreign,765,194,0.6642174719985015,0.6443298969072165,0.6337319068596601,0.6807157397270203
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,22,institution,765,194,0.6883101612913842,0.5412371134020618,0.5334900435005809,0.6892956495285034
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,22,retail,765,194,0.6748697635395075,0.5618556701030928,0.5598793605039101,0.684316098690033
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,23,foreign,768,197,0.6602592070897421,0.6040609137055838,0.5731666666666666,0.6899548768997192
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,23,institution,768,197,0.6879241466522217,0.4923857868020304,0.4865512927439532,0.6963863372802734
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,23,retail,768,197,0.6737924019495646,0.5431472081218274,0.5245119073160266,0.6866509318351746
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,24,foreign,772,194,0.6657749729452973,0.6288659793814433,0.5976958525345623,0.6735589504241943
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,24,institution,772,194,0.6875120469325565,0.5927835051546392,0.5834760157630112,0.6920491456985474
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,24,retail,772,194,0.679662601008934,0.6855670103092784,0.6510688485920684,0.6687061786651611
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,25,foreign,765,194,0.6655578806509379,0.6185567010309279,0.586520737327189,0.6737200021743774
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,25,institution,765,194,0.6882710946930779,0.5824742268041238,0.578430583501006,0.6887109279632568
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,25,retail,765,194,0.675336469310561,0.5618556701030928,0.5345358060236542,0.6824495196342468
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,26,foreign,765,194,0.6688225081543517,0.6391752577319587,0.6263070996147495,0.6531981229782104
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,26,institution,765,194,0.684760018033919,0.4845360824742268,0.4765245547760388,0.7019804120063782
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,26,retail,765,194,0.6814727599324744,0.6804123711340206,0.6676613616268788,0.6620530486106873
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,27,foreign,765,194,0.6649013090756983,0.6288659793814433,0.6184857423795477,0.6740678548812866
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,27,institution,765,194,0.6868206149612377,0.520618556701031,0.5137844611528821,0.6950804591178894
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,27,retail,765,194,0.6780338070751015,0.6443298969072165,0.6373045763676267,0.6758618950843811
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,28,foreign,765,194,0.6641242025724423,0.6237113402061856,0.5853608549260723,0.6808035373687744
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,28,institution,765,194,0.6866515066109452,0.5257731958762887,0.5195951765719208,0.6936514377593994
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,28,retail,765,194,0.6766560387767219,0.6030927835051546,0.5760465446289201,0.6786326169967651
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,29,foreign,768,197,0.6602088014284769,0.5939086294416244,0.5160894129206584,0.6928044557571411
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,29,institution,768,197,0.68716033299764,0.5279187817258884,0.5279187817258884,0.6915978789329529
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,29,retail,768,197,0.6758794188499451,0.5989847715736041,0.5371598513011153,0.6798710823059082
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,30,foreign,772,194,0.6654966189453639,0.5773195876288659,0.5736492281303602,0.6785479784011841
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,30,institution,772,194,0.6890892055985841,0.6494845360824743,0.6339216339216339,0.6870386004447937
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,30,retail,772,194,0.6752574181309636,0.5412371134020618,0.5391678009982117,0.6837288737297058
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,31,foreign,765,194,0.6686157589644388,0.6237113402061856,0.6232207944236039,0.6602699756622314
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,31,institution,765,194,0.6853897582471761,0.5412371134020618,0.5099758762594011,0.7016301155090332
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,31,retail,765,194,0.6815922578955008,0.6752577319587629,0.6752491032283778,0.6656060218811035
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,32,foreign,765,194,0.6651159428303538,0.6288659793814433,0.6248791492104415,0.6766182780265808
ep_30_bs_512_lr_0p0005_l1_0p0003,30,512,0.0005,0.0003,32,institution,765,194,0.687892697293774,0.5463917525773195,0.5367415608379464,0.695594072341919
