experiment,epochs,learning_rate,lambda_l1,split,investor,train_size,test_size,train_nll,accuracy,macro_f1,nll
ep_100_lr_0p001_l1_0,100,0.001,0.0,16,foreign,768,197,0.6064700881640116,0.6040609137055838,0.5964810924369748,0.753126323223114
ep_100_lr_0p001_l1_0,100,0.001,0.0,16,institution,768,197,0.6840283870697021,0.5431472081218274,0.5417183622828784,0.7075701355934143
ep_100_lr_0p001_l1_0,100,0.001,0.0,16,retail,768,197,0.6475245952606201,0.5532994923857868,0.5491052850603413,0.7566831707954407
ep_100_lr_0p001_l1_0,100,0.001,0.0,17,foreign,772,194,0.6293168248599057,0.654639175257732,0.5900589775128521,0.6454100608825684
ep_100_lr_0p001_l1_0,100,0.001,0.0,17,institution,772,194,0.6854316533538344,0.5257731958762887,0.5245098039215687,0.6902278661727905
ep_100_lr_0p001_l1_0,100,0.001,0.0,17,retail,772,194,0.665818528190178,0.6082474226804123,0.5372253609541745,0.6630999445915222
ep_100_lr_0p001_l1_0,100,0.001,0.0,18,foreign,765,194,0.6242273536382937,0.6443298969072165,0.6362005707297187,0.6311673521995544
ep_100_lr_0p001_l1_0,100,0.001,0.0,18,institution,765,194,0.6855623362111111,0.5051546391752577,0.5032540275258721,0.6958672404289246
ep_100_lr_0p001_l1_0,100,0.001,0.0,18,retail,765,194,0.6646829878582674,0.6443298969072165,0.6323638460904671,0.646883487701416
ep_100_lr_0p001_l1_0,100,0.001,0.0,19,foreign,765,194,0.625994457528482,0.6649484536082474,0.6583303980274745,0.6285754442214966
ep_100_lr_0p001_l1_0,100,0.001,0.0,19,institution,765,194,0.6879389159819659,0.6030927835051546,0.6030822372791285,0.6786865592002869
ep_100_lr_0p001_l1_0,100,0.001,0.0,19,retail,765,194,0.6524861693382263,0.520618556701031,0.5125233038826295,0.6958293914794922
ep_100_lr_0p001_l1_0,100,0.001,0.0,20,foreign,765,194,0.6384860510919609,0.7216494845360825,0.7213829787234043,0.5847939848899841
ep_100_lr_0p001_l1_0,100,0.001,0.0,20,institution,765,194,0.6805768309854994,0.5257731958762887,0.5239517763789608,0.7231765985488892
ep_100_lr_0p001_l1_0,100,0.001,0.0,20,retail,765,194,0.6669381405013839,0.6597938144329897,0.659468085106383,0.6439435482025146
ep_100_lr_0p001_l1_0,100,0.001,0.0,21,foreign,765,194,0.6294146304816203,0.6958762886597938,0.6958035453264942,0.6209293007850647
ep_100_lr_0p001_l1_0,100,0.001,0.0,21,institution,765,194,0.6853033884678011,0.5412371134020618,0.5391678009982117,0.7025661468505859
ep_100_lr_0p001_l1_0,100,0.001,0.0,21,retail,765,194,0.6584327914356406,0.6082474226804123,0.6082057823129252,0.6722412109375
ep_100_lr_0p001_l1_0,100,0.001,0.0,22,foreign,765,194,0.6223774426902821,0.634020618556701,0.6169100264219163,0.6490165591239929
