investor,epoch,train_mse_mean,train_mse_std,train_mse_min,train_mse_max,total_loss_mean,total_loss_std
foreign,68,0.056290933333333334,0.002116059399406875,0.052578,0.06086,0.056290933333333334,0.002116059399406875
foreign,69,0.05630313333333333,0.002114114736286046,0.052579,0.060867,0.05630313333333333,0.002114114736286046
foreign,70,0.05632851111111111,0.0021081908079745265,0.052571,0.060869,0.05632851111111111,0.0021081908079745265
foreign,71,0.05634104444444444,0.0021070116381819875,0.052581,0.060868,0.05634104444444444,0.0021070116381819875
foreign,72,0.05634862222222222,0.0020960265687170274,0.052585,0.060862,0.05634862222222222,0.0020960265687170274
foreign,73,0.056343333333333336,0.002099744486619957,0.05258,0.060851,0.056343333333333336,0.002099744486619957
foreign,74,0.05633277777777778,0.0020984619355493422,0.052588,0.060858,0.05633277777777778,0.0020984619355493422
foreign,75,0.05633124444444444,0.002100575161014408,0.052576,0.060861,0.05633124444444444,0.002100575161014408
institution,1,0.015857,0.00080464037704035,0.014097,0.017482,0.015912,0.0008046403770403498
institution,2,0.015798577777777777,0.0008013611570574182,0.014039,0.017414,0.0158744,0.0008035245201893067
institution,3,0.015760577777777778,0.0007981313826936042,0.013999,0.017363,0.015851733333333333,0.0008022345326988525
institution,4,0.01573191111111111,0.0007948884090413469,0.013968,0.017321,0.015839755555555557,0.0008005085359704891
institution,5,0.0157084,0.0007920908005801081,0.013942,0.017283,0.015828577777777776,0.0007991015832821512
institution,6,0.015686822222222223,0.0007895327815431816,0.013917,0.017247,0.015816977777777776,0.0007994234424909245
institution,7,0.015666866666666668,0.0007874428002314608,0.013896,0.017215,0.015808222222222224,0.0007986738977514503
institution,8,0.01564928888888889,0.0007852033501011697,0.013877,0.017185,0.015801799999999998,0.0007975519532806743
institution,9,0.015633755555555556,0.0007833579860724178,0.013858,0.017158,0.015795622222222222,0.0007968723602847945
institution,10,0.01562057777777778,0.000781589449568485,0.013843,0.017134,0.01578957777777778,0.000796293644126818
retail,1,0.11097526666666667,0.004818818203856439,0.102934,0.122158,0.11098077777777778,0.004818689207322638
retail,2,0.10947313333333333,0.004829850278123635,0.101642,0.120572,0.10948344444444444,0.004829500202616277
