investor,context,feature,context_z,mean,p10,p90
foreign,fx_level_z_252,momentum,-0.3999999999999999,0.05077350872361821,0.03584209355991332,0.06155363544821736
foreign,fx_level_z_252,momentum,-0.34999999999999987,0.05062117469070163,0.035925096786231715,0.06112966900691387
foreign,fx_level_z_252,momentum,-0.2999999999999998,0.05046884065778507,0.03600810001255011,0.06070570256561038
foreign,fx_level_z_252,momentum,-0.25,0.0503165066248685,0.036091103238868494,0.060281736124306894
foreign,fx_level_z_252,momentum,-0.19999999999999996,0.05016417259195194,0.036166328785475314,0.0598577696830034
foreign,fx_level_z_252,momentum,-0.1499999999999999,0.050011838559035376,0.03610586866561786,0.05943380324169991
foreign,fx_level_z_252,momentum,-0.09999999999999987,0.04985950452611881,0.0360454085457604,0.05900983680039642
foreign,fx_level_z_252,momentum,-0.04999999999999982,0.049707170493202245,0.03598494842590295,0.05858587035909293
foreign,fx_level_z_252,momentum,0.0,0.049554836460285676,0.0358800761401653,0.05816190391778944
foreign,fx_level_z_252,momentum,0.050000000000000266,0.0494025024273691,0.03576751937507649,0.057737937476485944
foreign,fx_level_z_252,momentum,0.10000000000000009,0.04925016839445254,0.03573979540495199,0.057369032967835625
foreign,fx_level_z_252,momentum,0.1499999999999999,0.04909783436153597,0.03609804516774599,0.05720716486684974
foreign,fx_level_z_252,momentum,0.20000000000000018,0.048945500328619405,0.03636694506043564,0.057034454606473405
foreign,fx_level_z_252,momentum,0.25,0.04879316629570284,0.03662035595916673,0.05654815617017444
foreign,fx_level_z_252,momentum,0.30000000000000027,0.048640832262786274,0.03687376685789782,0.05612964459694915
foreign,fx_level_z_252,momentum,0.3500000000000001,0.04848849822986971,0.03708714195468921,0.05603000711882478
foreign,fx_level_z_252,momentum,0.40000000000000036,0.048336164196953135,0.03717014518100759,0.05557828672230237
foreign,fx_level_z_252,momentum,0.4500000000000002,0.048183830164036566,0.037253148407325985,0.05558881128206841
foreign,fx_level_z_252,momentum,0.5,0.048031496131120004,0.03733615163364438,0.055615466274321
foreign,fx_level_z_252,momentum,0.5500000000000003,0.047879162098203434,0.03741915485996277,0.055642121266573585
foreign,fx_level_z_252,momentum,0.6000000000000001,0.04772682806528687,0.037502158086281163,0.05566877625882617
foreign,fx_level_z_252,momentum,0.6500000000000004,0.04757449403237031,0.037585161312599556,0.05569543125107875
foreign,fx_level_z_252,momentum,0.7000000000000002,0.04742215999945374,0.03766816453891795,0.055765768727287564
foreign,fx_level_z_252,momentum,0.75,0.04726982596653718,0.03760419181489845,0.05562497116625303
foreign,fx_level_z_252,momentum,0.8000000000000003,0.0471174919336206,0.03740669609047466,0.055463903397321636
foreign,fx_level_z_252,momentum,0.8500000000000001,0.04696515790070403,0.03720920036605087,0.05530283562839025
foreign,fx_level_z_252,momentum,0.9000000000000004,0.04681282386778747,0.03701170464162708,0.05524560126941645
foreign,fx_level_z_252,momentum,0.9500000000000002,0.04666048983487091,0.03679919193615201,0.05518931775586673
foreign,fx_level_z_252,momentum,1.0,0.04650815580195434,0.0364810817642137,0.05522297958377742
foreign,fx_level_z_252,momentum,1.0500000000000003,0.046355821769037776,0.03615071994252504,0.055318737408379025
foreign,fx_level_z_252,momentum,1.1,0.04620348773612121,0.035657509919255995,0.05541449523298063
foreign,fx_level_z_252,momentum,1.1500000000000004,0.046051153703204645,0.035164299895986934,0.05551025305758223
foreign,fx_level_z_252,momentum,1.2000000000000002,0.04589881967028807,0.03473313182592383,0.05560601088218384
foreign,fx_level_z_252,momentum,1.25,0.0457464856373715,0.03470846186392,0.05570176870678544
foreign,fx_level_z_252,momentum,1.3000000000000003,0.04559415160445494,0.034683791901916165,0.055709664642345155
foreign,fx_level_z_252,momentum,1.35,0.045441817571538375,0.03429044378921392,0.05558176812366582
foreign,fx_level_z_252,momentum,1.4000000000000004,0.045289483538621805,0.03377652215305712,0.055453871604986486
foreign,fx_level_z_252,momentum,1.4500000000000002,0.04513714950570524,0.03359281756798733,0.05532597508630715
foreign,fx_level_z_252,momentum,1.5,0.044984815472788674,0.03339105264749376,0.05519807856762781
foreign,fx_level_z_252,momentum,1.5500000000000003,0.04483248143987211,0.03313724410487337,0.05507018204894848
foreign,fx_level_z_252,momentum,1.6,0.044680147406955535,0.032883435562252976,0.05494228553026914
foreign,fx_level_z_252,momentum,1.6500000000000004,0.044527813374038966,0.03248235038481651,0.054814389011589804
foreign,fx_level_z_252,momentum,1.7000000000000002,0.04437547934112241,0.032022171746939415,0.054686492492910466
foreign,fx_level_z_252,momentum,1.75,0.04422314530820584,0.03156199310906231,0.054558963255840316
foreign,fx_level_z_252,momentum,1.8000000000000003,0.04407081127528927,0.0311018144711852,0.05471287058200676
