split,investor,comparison,metric,improvement
13,institution,컨텍스트 없음,mae,0.000473203254363605
13,retail,컨텍스트 없음,mae,0.006453721598030815
14,foreign,컨텍스트 없음,mae,0.007963097947796677
14,institution,컨텍스트 없음,mae,0.0004617679643938999
14,retail,컨텍스트 없음,mae,0.012803803859326585
15,foreign,컨텍스트 없음,mae,0.00019154582628999606
15,institution,컨텍스트 없음,mae,0.0006374286705565085
15,retail,컨텍스트 없음,mae,0.006287758838692592
16,foreign,컨텍스트 없음,mae,-0.0034302032563297002
16,institution,컨텍스트 없음,mae,0.00013125312213520257
16,retail,컨텍스트 없음,mae,0.0015133423588905015
17,foreign,컨텍스트 없음,mae,-0.0011484332986658186
17,institution,컨텍스트 없음,mae,-0.0003445040186765974
17,retail,컨텍스트 없음,mae,0.0028017779941832965
18,foreign,컨텍스트 없음,mae,-0.0008282837609174809
18,institution,컨텍스트 없음,mae,1.0372713076495232e-05
18,retail,컨텍스트 없음,mae,0.005873972031266217
19,foreign,컨텍스트 없음,mae,0.0007452736113618963
19,institution,컨텍스트 없음,mae,-1.3322192617792883e-05
19,retail,컨텍스트 없음,mae,0.0030478682433802695
20,foreign,컨텍스트 없음,mae,-0.00901740421565031
20,institution,컨텍스트 없음,mae,-4.028230021919932e-05
20,retail,컨텍스트 없음,mae,0.0016749482481864808
21,foreign,컨텍스트 없음,mae,0.0036367219332701928
21,institution,컨텍스트 없음,mae,-0.0008402682131080919
21,retail,컨텍스트 없음,mae,0.002611318269514107
22,foreign,컨텍스트 없음,mae,-0.0027584314205895133
22,institution,컨텍스트 없음,mae,-9.36396701252118e-05
22,retail,컨텍스트 없음,mae,-0.0017322665632500955
23,foreign,컨텍스트 없음,mae,-0.0030613510117766807
23,institution,컨텍스트 없음,mae,-0.00025155561981159147
23,retail,컨텍스트 없음,mae,-0.002490034638927663
24,foreign,컨텍스트 없음,mae,0.0003928772363447075
24,institution,컨텍스트 없음,mae,-4.210315991880209e-05
24,retail,컨텍스트 없음,mae,0.008191385330421075
25,foreign,컨텍스트 없음,mae,0.0008863885409904071
25,institution,컨텍스트 없음,mae,7.627427322395852e-06
25,retail,컨텍스트 없음,mae,0.005995131253754504
26,foreign,컨텍스트 없음,mae,-0.004249124368892687
26,institution,컨텍스트 없음,mae,0.0001752650778988063
26,retail,컨텍스트 없음,mae,0.0022707640711870924
27,foreign,컨텍스트 없음,mae,0.0038626403694843048
27,institution,컨텍스트 없음,mae,-0.0005505718965893996
27,retail,컨텍스트 없음,mae,0.0053484965615051006
28,foreign,컨텍스트 없음,mae,0.0018928077950421118
28,institution,컨텍스트 없음,mae,-0.0004956353085682902
28,retail,컨텍스트 없음,mae,0.00399497694926354
29,foreign,컨텍스트 없음,mae,-0.0051678931952199025
29,institution,컨텍스트 없음,mae,-0.00032569768174958713
29,retail,컨텍스트 없음,mae,-0.0011764478628633057
30,foreign,컨텍스트 없음,mae,0.001956513272742405
30,institution,컨텍스트 없음,mae,-0.00012323330004609945
30,retail,컨텍스트 없음,mae,0.009120783012494693
31,foreign,컨텍스트 없음,mae,-0.006904256062044423
31,institution,컨텍스트 없음,mae,-0.0002076866525966975
31,retail,컨텍스트 없음,mae,0.0047872738970309026
32,foreign,컨텍스트 없음,mae,0.006415727341574001
32,institution,컨텍스트 없음,mae,-0.0003850252231639012
32,retail,컨텍스트 없음,mae,0.008678842939618903
33,foreign,컨텍스트 없음,mae,-0.00017469263630770504
33,institution,컨텍스트 없음,mae,-9.269733269309799e-05
33,retail,컨텍스트 없음,mae,0.007023427918968594
34,foreign,컨텍스트 없음,mae,-0.0013888766758644866
34,institution,컨텍스트 없음,mae,-0.00040193029539310754
34,retail,컨텍스트 없음,mae,0.003997056477887506
35,foreign,컨텍스트 없음,mae,-0.016092967318362517
35,institution,컨텍스트 없음,mae,-0.0003511210175910079
35,retail,컨텍스트 없음,mae,0.0035061476531333124
36,foreign,컨텍스트 없음,mae,0.0041077320233524894
36,institution,컨텍스트 없음,mae,-0.000268416192748408
36,retail,컨텍스트 없음,mae,0.006019763802130179
37,foreign,컨텍스트 없음,mae,-0.0038836698986039753
37,institution,컨텍스트 없음,mae,0.00015491109620270616
37,retail,컨텍스트 없음,mae,0.0037886998856190846
38,foreign,컨텍스트 없음,mae,-0.003004473412461406
38,institution,컨텍스트 없음,mae,0.00018202250731480518
38,retail,컨텍스트 없음,mae,0.0008047001949288979
39,foreign,컨텍스트 없음,mae,-0.002166221966035692
39,institution,컨텍스트 없음,mae,-2.5817478212800116e-05
39,retail,컨텍스트 없음,mae,0.00033144255231148945
40,foreign,컨텍스트 없음,mae,-0.013960002715694586
40,institution,컨텍스트 없음,mae,0.00013516183842449125
40,retail,컨텍스트 없음,mae,0.002360291265373682
41,foreign,컨텍스트 없음,mae,-0.006995492474161785
41,institution,컨텍스트 없음,mae,-0.0001058051055751047
41,retail,컨텍스트 없음,mae,-0.006736517259803898
42,foreign,컨텍스트 없음,mae,0.001879495928020808
42,institution,컨텍스트 없음,mae,-0.0002559454514244053
42,retail,컨텍스트 없음,mae,0.004599945754120122
43,foreign,컨텍스트 없음,mae,0.0003183495707166917
43,institution,컨텍스트 없음,mae,-0.001622485216079994
43,retail,컨텍스트 없음,mae,0.0004190643256538895
44,foreign,컨텍스트 없음,mae,-0.0158170313570829
44,institution,컨텍스트 없음,mae,-5.541675596149043e-05
44,retail,컨텍스트 없음,mae,-0.0028562148829667233
0,foreign,상호작용 B만,direction_accuracy,-1.0309278350515538
0,institution,상호작용 B만,direction_accuracy,0.5154639175257714
0,retail,상호작용 B만,direction_accuracy,13.4020618556701
1,foreign,상호작용 B만,direction_accuracy,0.0
1,institution,상호작용 B만,direction_accuracy,-3.0927835051546393
1,retail,상호작용 B만,direction_accuracy,-2.0618556701030855
2,foreign,상호작용 B만,direction_accuracy,4.639175257731953
2,institution,상호작용 B만,direction_accuracy,7.216494845360821
2,retail,상호작용 B만,direction_accuracy,2.0618556701030855
3,foreign,상호작용 B만,direction_accuracy,2.0618556701030855
3,institution,상호작용 B만,direction_accuracy,5.670103092783507
3,retail,상호작용 B만,direction_accuracy,2.577319587628868
4,foreign,상호작용 B만,direction_accuracy,2.577319587628868
4,institution,상호작용 B만,direction_accuracy,4.639175257731953
4,retail,상호작용 B만,direction_accuracy,6.70103092783505
5,foreign,상호작용 B만,direction_accuracy,-2.0618556701030966
5,institution,상호작용 B만,direction_accuracy,6.185567010309279
5,retail,상호작용 B만,direction_accuracy,-3.0927835051546393
6,foreign,상호작용 B만,direction_accuracy,0.0
6,institution,상호작용 B만,direction_accuracy,5.670103092783507
6,retail,상호작용 B만,direction_accuracy,5.154639175257736
7,foreign,상호작용 B만,direction_accuracy,1.5463917525773252
7,institution,상호작용 B만,direction_accuracy,4.639175257731959
7,retail,상호작용 B만,direction_accuracy,4.123711340206182
8,foreign,상호작용 B만,direction_accuracy,4.568527918781717
8,institution,상호작용 B만,direction_accuracy,-1.0152284263959421
8,retail,상호작용 B만,direction_accuracy,3.0456852791878153
9,foreign,상호작용 B만,direction_accuracy,0.0
9,institution,상호작용 B만,direction_accuracy,1.0309278350515538
9,retail,상호작용 B만,direction_accuracy,3.0927835051546393
10,foreign,상호작용 B만,direction_accuracy,2.0618556701030966
10,institution,상호작용 B만,direction_accuracy,3.6082474226804107
10,retail,상호작용 B만,direction_accuracy,3.0927835051546393
11,foreign,상호작용 B만,direction_accuracy,-1.5463917525773252
11,institution,상호작용 B만,direction_accuracy,2.577319587628868
11,retail,상호작용 B만,direction_accuracy,2.577319587628868
12,foreign,상호작용 B만,direction_accuracy,2.0618556701030855
12,institution,상호작용 B만,direction_accuracy,3.6082474226804164
12,retail,상호작용 B만,direction_accuracy,6.185567010309279
13,foreign,상호작용 B만,direction_accuracy,-0.5154639175257825
13,institution,상호작용 B만,direction_accuracy,4.6391752577319645
13,retail,상호작용 B만,direction_accuracy,-0.5154639175257714
14,foreign,상호작용 B만,direction_accuracy,-2.577319587628857
14,institution,상호작용 B만,direction_accuracy,6.185567010309284
14,retail,상호작용 B만,direction_accuracy,0.5154639175257714
15,foreign,상호작용 B만,direction_accuracy,-3.6082474226804107
15,institution,상호작용 B만,direction_accuracy,2.577319587628868
15,retail,상호작용 B만,direction_accuracy,4.123711340206182
16,foreign,상호작용 B만,direction_accuracy,0.0
16,institution,상호작용 B만,direction_accuracy,-0.5076142131979711
16,retail,상호작용 B만,direction_accuracy,4.060913705583758
17,foreign,상호작용 B만,direction_accuracy,-1.0309278350515427
17,institution,상호작용 B만,direction_accuracy,-5.670103092783507
17,retail,상호작용 B만,direction_accuracy,0.0
18,foreign,상호작용 B만,direction_accuracy,-2.577319587628868
18,institution,상호작용 B만,direction_accuracy,-5.670103092783507
18,retail,상호작용 B만,direction_accuracy,-0.5154639175257825
19,foreign,상호작용 B만,direction_accuracy,0.5154639175257825
19,institution,상호작용 B만,direction_accuracy,1.0309278350515427
19,retail,상호작용 B만,direction_accuracy,2.061855670103091
20,foreign,상호작용 B만,direction_accuracy,-7.216494845360833
20,institution,상호작용 B만,direction_accuracy,-1.546391752577314
20,retail,상호작용 B만,direction_accuracy,-5.154639175257724
21,foreign,상호작용 B만,direction_accuracy,0.5154639175257714
21,institution,상호작용 B만,direction_accuracy,-7.216494845360821
