split,investor,parameter,term,weight
19,retail,beta,herd,-0.0336844511330127
19,retail,beta,underwater,0.0309398099780082
20,foreign,beta,momentum,0.0360133126378059
20,foreign,beta,herd,-0.0353446416556835
20,foreign,beta,underwater,0.011613093316555
20,institution,beta,momentum,0.0002088893234031
20,institution,beta,herd,-0.004618763923645
20,institution,beta,underwater,-0.0006046769558452
20,retail,beta,momentum,-0.0282806325703859
20,retail,beta,herd,-0.0326527208089828
20,retail,beta,underwater,0.0256569571793079
21,foreign,beta,momentum,0.0536014474928379
21,foreign,beta,herd,-0.0461347699165344
21,foreign,beta,underwater,0.0119411228224635
21,institution,beta,momentum,0.0003663289535325
21,institution,beta,herd,-0.0045493794605135
21,institution,beta,underwater,-0.0012306901626288
21,retail,beta,momentum,-0.0321612060070037
21,retail,beta,herd,-0.0335304327309131
21,retail,beta,underwater,0.0316967815160751
22,foreign,beta,momentum,0.0540967136621475
22,foreign,beta,herd,-0.0461730137467384
22,foreign,beta,underwater,0.0154658975079655
22,institution,beta,momentum,-5.766799586126581e-05
22,institution,beta,herd,-0.0045745149254798
22,institution,beta,underwater,1.6818506992422044e-05
22,retail,beta,momentum,-0.0310120843350887
22,retail,beta,herd,-0.0330424830317497
22,retail,beta,underwater,0.0312998965382576
23,foreign,beta,momentum,0.0592094957828521
23,foreign,beta,herd,-0.0455233938992023
23,foreign,beta,underwater,0.013901948928833
23,institution,beta,momentum,-0.0034121831413358
23,institution,beta,herd,-0.0041533079929649
23,institution,beta,underwater,-0.0009857886470854
23,retail,beta,momentum,-0.0310211740434169
23,retail,beta,herd,-0.0329439304769039
23,retail,beta,underwater,0.0286852587014436
24,foreign,beta,momentum,0.0444071367383003
24,foreign,beta,herd,-0.0391477309167385
24,foreign,beta,underwater,0.0123210055753588
24,institution,beta,momentum,-0.0002481398987583
24,institution,beta,herd,-0.0044426638633012
24,institution,beta,underwater,1.9896411686204377e-05
24,retail,beta,momentum,-0.029911009594798
24,retail,beta,herd,-0.0301251746714115
24,retail,beta,underwater,0.0256879962980747
25,foreign,beta,momentum,0.046804305166006
25,foreign,beta,herd,-0.0424949377775192
25,foreign,beta,underwater,0.0129683781415224
25,institution,beta,momentum,6.560181645909324e-06
25,institution,beta,herd,-0.0046433107927441
25,institution,beta,underwater,4.433402500580996e-05
25,retail,beta,momentum,-0.0307649243623018
25,retail,beta,herd,-0.0320702455937862
25,retail,beta,underwater,0.0294694192707538
26,foreign,beta,momentum,0.0382728241384029
26,foreign,beta,herd,-0.0348142609000206
26,foreign,beta,underwater,0.0110861090943217
26,institution,beta,momentum,0.0001113561520469
26,institution,beta,herd,-0.0046626199036836
26,institution,beta,underwater,-0.0004454648296814
26,retail,beta,momentum,-0.027527566999197
26,retail,beta,herd,-0.0317177809774875
26,retail,beta,underwater,0.0187176950275897
27,foreign,beta,momentum,0.0528815351426601
27,foreign,beta,herd,-0.0456518977880477
27,foreign,beta,underwater,0.0113264508545398
27,institution,beta,momentum,-0.000305971072521
27,institution,beta,herd,-0.0046130828559398
27,institution,beta,underwater,-0.0014304488431662
27,retail,beta,momentum,-0.0310318600386381
27,retail,beta,herd,-0.0303668342530727
27,retail,beta,underwater,0.0289034508168697
28,foreign,beta,momentum,0.0525617562234401
28,foreign,beta,herd,-0.0460491925477981
28,foreign,beta,underwater,0.0152787696570158
28,institution,beta,momentum,-8.821989467833191e-05
28,institution,beta,herd,-0.0046228226274251
28,institution,beta,underwater,-0.0001436982129234
28,retail,beta,momentum,-0.0294110942631959
28,retail,beta,herd,-0.0313122868537902
28,retail,beta,underwater,0.0288273114711046
29,foreign,beta,momentum,0.0554697550833225
29,foreign,beta,herd,-0.0453334003686904
29,foreign,beta,underwater,0.012973753735423
29,institution,beta,momentum,-0.0032959664240479
29,institution,beta,herd,-0.0043551470153033
29,institution,beta,underwater,-0.001677974127233
29,retail,beta,momentum,-0.030515206977725
29,retail,beta,herd,-0.031587153673172
29,retail,beta,underwater,0.0273531973361969
30,foreign,beta,momentum,0.0526409745216369
30,foreign,beta,herd,-0.0429578088223934
30,foreign,beta,underwater,0.0003403002920094
30,institution,beta,momentum,-0.0001971895690076
30,institution,beta,herd,-0.0040602032095193
30,institution,beta,underwater,6.845744792371988e-06
30,retail,beta,momentum,-0.0308990124613046
30,retail,beta,herd,-0.0323441587388515
30,retail,beta,underwater,0.0306542851030826
31,foreign,beta,momentum,0.0372453294694423
31,foreign,beta,herd,-0.0366406068205833
31,foreign,beta,underwater,0.0120035232976078
31,institution,beta,momentum,-1.8228332919534296e-05
31,institution,beta,herd,-0.0041086757555603
31,institution,beta,underwater,5.8665318647399545e-06
31,retail,beta,momentum,-0.0282430779188871
31,retail,beta,herd,-0.0308311432600021
31,retail,beta,underwater,0.0241499133408069
32,foreign,beta,momentum,0.053107526153326
32,foreign,beta,herd,-0.0474880523979663
32,foreign,beta,underwater,0.0108104469254612
32,institution,beta,momentum,-0.0002400389203103
32,institution,beta,herd,-0.0037538199685513
32,institution,beta,underwater,-0.0009372687200084
32,retail,beta,momentum,-0.0319406911730766
32,retail,beta,herd,-0.0318677686154842
32,retail,beta,underwater,0.0313736647367477
33,foreign,beta,momentum,0.0544346384704113
33,foreign,beta,herd,-0.0475920252501964
33,foreign,beta,underwater,0.0152721023187041
33,institution,beta,momentum,-0.0002631127426866
33,institution,beta,herd,-0.0039268280379474
33,institution,beta,underwater,-0.0002747817197814
33,retail,beta,momentum,-0.0308926049619913
33,retail,beta,herd,-0.0313124023377895
33,retail,beta,underwater,0.0301367100328207
34,foreign,beta,momentum,0.058634877204895
34,foreign,beta,herd,-0.0472499914467334
34,foreign,beta,underwater,0.0130812283605337
34,institution,beta,momentum,-0.003843231126666
34,institution,beta,herd,-0.001275690505281
34,institution,beta,underwater,-0.0010912426514551
34,retail,beta,momentum,-0.0313835591077804
34,retail,beta,herd,-0.0314536616206169
34,retail,beta,underwater,0.0283156372606754
35,foreign,beta,momentum,0.0237505212426185
35,foreign,beta,herd,-0.0318919941782951
35,foreign,beta,underwater,0.0005939400289207
35,institution,beta,momentum,0.0005361195653676
35,institution,beta,herd,-0.0045165158808231
35,institution,beta,underwater,2.131491783075034e-06
35,retail,beta,momentum,-0.0285890866070985
35,retail,beta,herd,-0.0324257612228393
35,retail,beta,underwater,0.0256321169435977
36,foreign,beta,momentum,0.0469363741576671
36,foreign,beta,herd,-0.0452112108469009
36,foreign,beta,underwater,0.0053411806002259
36,institution,beta,momentum,3.334254870424047e-05
36,institution,beta,herd,-0.0044953050091862
36,institution,beta,underwater,-0.0003619752533268
36,retail,beta,momentum,-0.0323413200676441
36,retail,beta,herd,-0.0340625792741775
36,retail,beta,underwater,0.0322415456175804
37,foreign,beta,momentum,0.0473966002464294
37,foreign,beta,herd,-0.0447273962199687
37,foreign,beta,underwater,0.013015903532505
37,institution,beta,momentum,0.0002441259712213
37,institution,beta,herd,-0.0045311800204217
37,institution,beta,underwater,-0.0004501631483435
37,retail,beta,momentum,-0.0310381427407264
37,retail,beta,herd,-0.0330480337142944
37,retail,beta,underwater,0.0316535159945488
38,foreign,beta,momentum,0.0514074750244617
38,foreign,beta,herd,-0.0455460622906684
38,foreign,beta,underwater,0.008729051798582
38,institution,beta,momentum,3.1755589589010924e-05
38,institution,beta,herd,-0.0039796307682991
38,institution,beta,underwater,-2.2464810172095895e-06
38,retail,beta,momentum,-0.0324342548847198
38,retail,beta,herd,-0.0332043096423149
38,retail,beta,underwater,0.0304295215755701
39,foreign,beta,momentum,0.0287584010511636
39,foreign,beta,herd,-0.0350064523518085
39,foreign,beta,underwater,0.0037555298767983
39,institution,beta,momentum,0.0003781414416152
39,institution,beta,herd,-0.0045432606711983
39,institution,beta,underwater,-0.0001751004747347
39,retail,beta,momentum,-0.0294357910752296
39,retail,beta,herd,-0.0328579954802989
39,retail,beta,underwater,0.0261176191270351
40,foreign,beta,momentum,0.0357912518084049
40,foreign,beta,herd,-0.0332853272557258
40,foreign,beta,underwater,0.0065712109208106
40,institution,beta,momentum,9.853705705609173e-05
40,institution,beta,herd,-0.0045730248093605
40,institution,beta,underwater,9.958198643289506e-05
40,retail,beta,momentum,-0.029855903238058
40,retail,beta,herd,-0.0329066254198551
40,retail,beta,underwater,0.0279938578605651
41,foreign,beta,momentum,0.0451754257082939
41,foreign,beta,herd,-0.0363685488700866
41,foreign,beta,underwater,0.0109038464725017
41,institution,beta,momentum,-0.0011227154172956
41,institution,beta,herd,-0.0041542607359588
41,institution,beta,underwater,-0.0001357554720016
41,retail,beta,momentum,-0.0296405982226133
41,retail,beta,herd,-0.0334204174578189
41,retail,beta,underwater,0.0232959426939487
42,foreign,beta,momentum,0.0500084646046161
42,foreign,beta,herd,-0.0478415749967098
42,foreign,beta,underwater,0.003436574479565
42,institution,beta,momentum,-1.9840983441099524e-05
42,institution,beta,herd,-0.0045342426747083
42,institution,beta,underwater,-0.0011961536947637
42,retail,beta,momentum,-0.0322376862168312
42,retail,beta,herd,-0.033118188381195
42,retail,beta,underwater,0.0323064029216766
43,foreign,beta,momentum,0.0616055540740489
43,foreign,beta,herd,-0.0462056659162044
43,foreign,beta,underwater,0.0096706114709377
43,institution,beta,momentum,-0.001371158636175
43,institution,beta,herd,-0.0037256784271448
43,institution,beta,underwater,-0.0034294286742806
43,retail,beta,momentum,-0.0323232859373092
43,retail,beta,herd,-0.0331945642828941
43,retail,beta,underwater,0.0305451415479183
44,foreign,beta,momentum,0.0640502944588661
44,foreign,beta,herd,-0.0422398522496223
44,foreign,beta,underwater,0.0091648204252123
44,institution,beta,momentum,-0.0026968005113303
44,institution,beta,herd,-0.003896783106029
44,institution,beta,underwater,-0.0011043502017855
44,retail,beta,momentum,-0.0321610942482948
44,retail,beta,herd,-0.0328038670122623
44,retail,beta,underwater,0.0302637200802564
0,foreign,alpha,kospi_return_1d,0.0301627051085233
0,foreign,alpha,fx_level_z_252,-0.0186985116451978
0,institution,alpha,kospi_return_1d,-0.0002996391267515
0,institution,alpha,fx_level_z_252,1.4537177776219323e-05
0,retail,alpha,kospi_return_1d,-0.0276813395321369
0,retail,alpha,fx_level_z_252,0.0253598392009735
1,foreign,alpha,kospi_return_1d,0.0309377666562795
1,foreign,alpha,fx_level_z_252,-0.0188560243695974
1,institution,alpha,kospi_return_1d,-0.0004019999178126
1,institution,alpha,fx_level_z_252,-0.0020035982597619
1,retail,alpha,kospi_return_1d,-0.0273381453007459
1,retail,alpha,fx_level_z_252,0.0301688164472579
2,foreign,alpha,kospi_return_1d,0.0365620478987693
2,foreign,alpha,fx_level_z_252,-0.0094738621264696
2,institution,alpha,kospi_return_1d,-0.0029195696115493
2,institution,alpha,fx_level_z_252,-0.0005403379327617
2,retail,alpha,kospi_return_1d,-0.0249375291168689
2,retail,alpha,fx_level_z_252,0.0224271193146705
3,foreign,alpha,kospi_return_1d,0.0297085344791412
3,foreign,alpha,fx_level_z_252,-0.0186141543090343
3,institution,alpha,kospi_return_1d,-0.0030528784263879
3,institution,alpha,fx_level_z_252,-0.0003968915552832
3,retail,alpha,kospi_return_1d,-0.024524426087737
3,retail,alpha,fx_level_z_252,0.0268698036670684
4,foreign,alpha,kospi_return_1d,0.0333015397191047
4,foreign,alpha,fx_level_z_252,-0.0236283391714096
4,institution,alpha,kospi_return_1d,-0.0019264338770881
4,institution,alpha,fx_level_z_252,-0.0004431822162587
4,retail,alpha,kospi_return_1d,-0.0279938876628875
4,retail,alpha,fx_level_z_252,0.0276472903788089
5,foreign,alpha,kospi_return_1d,0.0295950882136821
5,foreign,alpha,fx_level_z_252,-0.0357808955013752
5,institution,alpha,kospi_return_1d,-0.0035064504481852
5,institution,alpha,fx_level_z_252,-0.0004938627826049
5,retail,alpha,kospi_return_1d,-0.0235666260123252
5,retail,alpha,fx_level_z_252,0.0307684503495693
6,foreign,alpha,kospi_return_1d,0.0341832265257835
6,foreign,alpha,fx_level_z_252,-0.0096545573323965
6,institution,alpha,kospi_return_1d,-0.002814510371536
6,institution,alpha,fx_level_z_252,-0.0012989902170374
6,retail,alpha,kospi_return_1d,-0.0270425267517566
6,retail,alpha,fx_level_z_252,0.0290358196943998
7,foreign,alpha,kospi_return_1d,0.034208059310913
7,foreign,alpha,fx_level_z_252,-0.0259996317327022
7,institution,alpha,kospi_return_1d,-0.0014481048565357
7,institution,alpha,fx_level_z_252,-0.0001576083595864
7,retail,alpha,kospi_return_1d,-0.0284473896026611
7,retail,alpha,fx_level_z_252,0.0308608412742614
8,foreign,alpha,kospi_return_1d,0.048773780465126
8,foreign,alpha,fx_level_z_252,-0.0228095613420009
8,institution,alpha,kospi_return_1d,-0.0011489007156342
8,institution,alpha,fx_level_z_252,-0.0001775350974639
8,retail,alpha,kospi_return_1d,-0.0310023576021194
8,retail,alpha,fx_level_z_252,0.0246000457555055
9,foreign,alpha,kospi_return_1d,0.0255687665194273
9,foreign,alpha,fx_level_z_252,-0.0281670037657022
9,institution,alpha,kospi_return_1d,4.12309163948521e-05
9,institution,alpha,fx_level_z_252,-3.2148585887625813e-05
9,retail,alpha,kospi_return_1d,-0.0245357565581798
9,retail,alpha,fx_level_z_252,0.0305328853428363
10,foreign,alpha,kospi_return_1d,0.0355197712779045
10,foreign,alpha,fx_level_z_252,-0.0221934374421834
10,institution,alpha,kospi_return_1d,-0.0027677929028868
10,institution,alpha,fx_level_z_252,-0.0001327945356024
10,retail,alpha,kospi_return_1d,-0.0257245171815156
10,retail,alpha,fx_level_z_252,0.0282586012035608
11,foreign,alpha,kospi_return_1d,0.0286067072302103
11,foreign,alpha,fx_level_z_252,-0.0309928096830844
11,institution,alpha,kospi_return_1d,-0.0030178464949131
11,institution,alpha,fx_level_z_252,-8.574085950385779e-05
11,retail,alpha,kospi_return_1d,-0.0206545367836952
11,retail,alpha,fx_level_z_252,0.0305491108447313
12,foreign,alpha,kospi_return_1d,0.0315768495202064
12,foreign,alpha,fx_level_z_252,-0.0356374569237232
12,institution,alpha,kospi_return_1d,-0.0016889965627342
12,institution,alpha,fx_level_z_252,-0.0001056162727763
12,retail,alpha,kospi_return_1d,-0.0252541471272707
12,retail,alpha,fx_level_z_252,0.0302644986659288
13,foreign,alpha,kospi_return_1d,0.0269607361406087
13,foreign,alpha,fx_level_z_252,-0.048394501209259
13,institution,alpha,kospi_return_1d,-0.0033245934173464
13,institution,alpha,fx_level_z_252,-9.885503095574676e-05
13,retail,alpha,kospi_return_1d,-0.0208768360316753
13,retail,alpha,fx_level_z_252,0.0317665487527847
14,foreign,alpha,kospi_return_1d,0.0335675589740276
14,foreign,alpha,fx_level_z_252,-0.023569606244564
14,institution,alpha,kospi_return_1d,-0.0026154855731874
14,institution,alpha,fx_level_z_252,-0.0013693133369088
14,retail,alpha,kospi_return_1d,-0.0247559957206249
14,retail,alpha,fx_level_z_252,0.0320533476769924
15,foreign,alpha,kospi_return_1d,0.0330700352787971
15,foreign,alpha,fx_level_z_252,-0.0375532396137714
15,institution,alpha,kospi_return_1d,-0.0011892298934981
15,institution,alpha,fx_level_z_252,-0.0003262745740357
15,retail,alpha,kospi_return_1d,-0.0250782296061515
15,retail,alpha,fx_level_z_252,0.032787799835205
16,foreign,alpha,kospi_return_1d,0.0382746271789073
16,foreign,alpha,fx_level_z_252,-0.0334605127573013
16,institution,alpha,kospi_return_1d,-0.001135037979111
16,institution,alpha,fx_level_z_252,1.090390287572518e-05
16,retail,alpha,kospi_return_1d,-0.029780339449644
16,retail,alpha,fx_level_z_252,0.0286854337900877
17,foreign,alpha,kospi_return_1d,0.0466211624443531
17,foreign,alpha,fx_level_z_252,-0.0084477523341774
17,institution,alpha,kospi_return_1d,-0.0038498321082443
17,institution,alpha,fx_level_z_252,-0.0042150551453232
