experiment,epochs,learning_rate,lambda_l1,split,investor,train_size,test_size,train_nll,accuracy,macro_f1,nll
lr_0p001_l1_0,50,0.001,0.0,31,retail,765,194,0.6729103647805507,0.6391752577319587,0.6385606302565741,0.6417732834815979
lr_0p001_l1_0,50,0.001,0.0,32,foreign,765,194,0.6297633633114933,0.6391752577319587,0.6367041198501873,0.6626074314117432
lr_0p001_l1_0,50,0.001,0.0,32,institution,765,194,0.6846780553362728,0.5567010309278351,0.5326610644257703,0.7008376121520996
lr_0p001_l1_0,50,0.001,0.0,32,retail,765,194,0.666301777627733,0.6494845360824743,0.6493354598617757,0.6576166749000549
lr_0p001_l1_0,50,0.001,0.0,33,foreign,765,194,0.6276255489953982,0.5824742268041238,0.5742271113880835,0.6524584889411926
lr_0p001_l1_0,50,0.001,0.0,33,institution,765,194,0.6840517869182662,0.5360824742268041,0.5001717622810031,0.6927488446235657
lr_0p001_l1_0,50,0.001,0.0,33,retail,765,194,0.6636108282344794,0.6185567010309279,0.6078881241123129,0.6584373116493225
lr_0p001_l1_0,50,0.001,0.0,34,foreign,768,197,0.6201432148615519,0.6192893401015228,0.6029186487140208,0.6836110949516296
lr_0p001_l1_0,50,0.001,0.0,34,institution,768,197,0.6828969120979309,0.4568527918781725,0.456796804535498,0.7079790830612183
lr_0p001_l1_0,50,0.001,0.0,34,retail,768,197,0.6618417302767435,0.6446700507614214,0.6251087429317095,0.6725208163261414
lr_0p001_l1_0,50,0.001,0.0,35,foreign,772,194,0.6447676630217795,0.5979381443298969,0.5975531914893617,0.6258018612861633
lr_0p001_l1_0,50,0.001,0.0,35,institution,772,194,0.6845862590587201,0.5051546391752577,0.4808206958073149,0.7017975449562073
lr_0p001_l1_0,50,0.001,0.0,35,retail,772,194,0.6683964750927347,0.5670103092783505,0.5623590074121818,0.6605183482170105
lr_0p001_l1_0,50,0.001,0.0,36,foreign,765,194,0.6308181265600367,0.6030927835051546,0.6007056748015289,0.6613289713859558
lr_0p001_l1_0,50,0.001,0.0,36,institution,765,194,0.6858263695162106,0.5721649484536082,0.5609543285616905,0.6893789768218994
lr_0p001_l1_0,50,0.001,0.0,36,retail,765,194,0.6551860313789517,0.5360824742268041,0.5343006508055052,0.6993470191955566
lr_0p001_l1_0,50,0.001,0.0,37,foreign,765,194,0.6294117605764102,0.6030927835051546,0.5952529330479313,0.6463527679443359
lr_0p001_l1_0,50,0.001,0.0,37,institution,765,194,0.6851478874293807,0.5618556701030928,0.5434030181365084,0.6887539029121399
lr_0p001_l1_0,50,0.001,0.0,37,retail,765,194,0.6519815824390237,0.5,0.4928719648583825,0.7004948854446411
lr_0p001_l1_0,50,0.001,0.0,38,foreign,768,197,0.620600422223409,0.5989847715736041,0.5798893237953839,0.6916025280952454
lr_0p001_l1_0,50,0.001,0.0,38,institution,768,197,0.6859267155329386,0.5532994923857868,0.5527347781217751,0.6866830587387085
lr_0p001_l1_0,50,0.001,0.0,38,retail,768,197,0.6481211384137472,0.5228426395939086,0.509066808059385,0.7325555682182312
lr_0p001_l1_0,50,0.001,0.0,39,foreign,772,194,0.644580306166812,0.6649484536082474,0.6458959310325461,0.6265978217124939
lr_0p001_l1_0,50,0.001,0.0,39,institution,772,194,0.6843627299051829,0.5412371134020618,0.5239198169134475,0.6979289650917053
