experiment,epochs,learning_rate,lambda_l1,investor,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,accuracy_rank,nll_rank
lr_0p003_l1_0,50,0.003,0.0,retail,0.5903169536169693,0.047193567268817155,0.5758951160067709,0.050731406216447596,0.6850131511688232,0.03331032003287031,12.0,12.0
lr_0p01_l1_0p01,50,0.01,0.01,retail,0.5890516975712433,0.045958336449555715,0.574463676828828,0.05046133618607074,0.6851621349652608,0.0341595351720365,13.0,13.0
lr_0p01_l1_0p003,50,0.01,0.003,retail,0.5881405504096383,0.045592938610944274,0.5741120129814179,0.04954501190089844,0.6877284950680203,0.03743953694831705,14.0,14.0
lr_0p01_l1_0p001,50,0.01,0.001,retail,0.5875608352085404,0.045171968290226044,0.573754185857845,0.04831021571930395,0.6886376063028972,0.03836671457038714,15.0,15.0
lr_0p01_l1_0p0003,50,0.01,0.0003,retail,0.5869846087649218,0.04532492567541115,0.573113122283394,0.04862711864831118,0.688970747258928,0.03869803562741365,16.0,16.0
lr_0p01_l1_0p0001,50,0.01,0.0001,retail,0.5869846087649218,0.04561709320538351,0.5731434363074872,0.04891441101484064,0.6890642987357245,0.038787300322856946,16.0,17.0
lr_0p01_l1_0,50,0.01,0.0,retail,0.5869846087649218,0.04540479417756588,0.5731508605699607,0.048707483755415726,0.6891108274459838,0.0388306397330053,16.0,18.0
lr_0p03_l1_0p01,50,0.03,0.01,retail,0.5834371238683342,0.047219227415170206,0.5669490293648992,0.05382523616674766,0.6957874245113796,0.058978738793447144,19.0,19.0
lr_0p03_l1_0p003,50,0.03,0.003,retail,0.583220239445055,0.04929213263060855,0.5675633733854831,0.055445515441825376,0.6991046229998271,0.06353811464792228,20.0,20.0
lr_0p03_l1_0p001,50,0.03,0.001,retail,0.5827568161599246,0.0495502361816311,0.5672358250660903,0.0554798972397428,0.7001939614613851,0.06454390782026341,21.0,21.0
lr_0p03_l1_0p0003,50,0.03,0.0003,retail,0.5820695309365569,0.04922885502787392,0.5666112118443053,0.055060236706204586,0.700578060415056,0.06484312933322352,22.0,22.0
lr_0p03_l1_0p0001,50,0.03,0.0001,retail,0.5819584721568081,0.05008436763147921,0.5665720829089519,0.0559029712008787,0.7006847620010376,0.06492149837715343,23.0,23.0
lr_0p03_l1_0,50,0.03,0.0,retail,0.5818456689983196,0.050064010997507354,0.5663999749899359,0.05592805707018069,0.7007385518815782,0.06496058640275376,24.0,24.0
