experiment,epochs,batch_size,learning_rate,lambda_l1,split,investor,train_size,test_size,train_nll,accuracy,macro_f1,nll
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,41,retail,768,197,0.6660251965125402,0.6294416243654822,0.6269810390890462,0.6712074875831604
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,42,foreign,772,194,0.6381169017114787,0.634020618556701,0.6335435123846012,0.6362577080726624
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,42,institution,772,194,0.6855422029841132,0.5412371134020618,0.5219161013429323,0.6944520473480225
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,42,retail,772,194,0.6612417759672965,0.5979381443298969,0.5963938973647711,0.6773223876953125
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,43,foreign,768,197,0.624930148323377,0.6345177664974619,0.6333746898263027,0.6879153847694397
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,43,institution,768,197,0.6835478395223618,0.4873096446700508,0.4819703715275065,0.7115085124969482
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,43,retail,768,197,0.657991553346316,0.5989847715736041,0.5979487974372885,0.6912301182746887
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,44,foreign,775,197,0.6231480776879095,0.5989847715736041,0.5664057058479369,0.6868141293525696
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,44,institution,775,197,0.6851860014084846,0.5228426395939086,0.5227319587628866,0.6919913291931152
ep_25_bs_64_lr_0p0005_l1_0p0003,25,64,0.0005,0.0003,44,retail,775,197,0.6577022717075963,0.5786802030456852,0.5520887549650733,0.690229058265686
ep_25_bs_64_lr_0p0005_l1_0p01,25,64,0.0005,0.01,0,foreign,773,194,0.6367995978789681,0.6391752577319587,0.6037581699346405,0.6450120806694031
ep_25_bs_64_lr_0p0005_l1_0p01,25,64,0.0005,0.01,0,institution,773,194,0.6880226378144761,0.5309278350515464,0.5281067065836251,0.6945390701293945
