experiment,epochs,learning_rate,lambda_l1,split,investor,train_size,test_size,train_nll,accuracy,macro_f1,nll
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,41,institution,768,197,0.6843987305959066,0.5025380710659898,0.5003623188405797,0.702972948551178
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,41,retail,768,197,0.6757981181144714,0.6345177664974619,0.6303169307756464,0.669041097164154
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,42,foreign,772,194,0.6643604219268641,0.6443298969072165,0.6438662303455982,0.6638938784599304
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,42,institution,772,194,0.690256574610972,0.5463917525773195,0.5415189601460951,0.6932101845741272
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,42,retail,772,194,0.675317090410025,0.6030927835051546,0.6013024795153068,0.6821208000183105
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,43,foreign,768,197,0.6566763718922933,0.6142131979695431,0.6105909280066584,0.6780765652656555
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,43,institution,768,197,0.6865593989690145,0.4771573604060913,0.4692804645201789,0.7000809907913208
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,43,retail,768,197,0.6714082757631937,0.5989847715736041,0.5979487974372885,0.6820229291915894
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,44,foreign,775,197,0.6532450461387634,0.583756345177665,0.5563063063063063,0.6843838095664978
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,44,institution,775,197,0.6887260238585934,0.4974619289340101,0.4961636828644501,0.6912381052970886
ep_25_lr_0p0005_l1_0p0003,25,0.0005,0.0003,44,retail,775,197,0.6719792172985692,0.5685279187817259,0.5479821838304765,0.6823720932006836
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,0,foreign,773,194,0.6511837459165714,0.6391752577319587,0.6063768115942029,0.6584138870239258
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,0,institution,773,194,0.6902175011332562,0.4793814432989691,0.4790353885831273,0.6946634650230408
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,0,retail,773,194,0.6661453272516021,0.5670103092783505,0.5212128334704431,0.6971811652183533
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,1,foreign,766,194,0.6549843664891415,0.6701030927835051,0.6678437667201712,0.6468519568443298
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,1,institution,766,194,0.6874749827011447,0.5567010309278351,0.5565124933545986,0.6882674098014832
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,1,retail,766,194,0.6688735838347253,0.5927835051546392,0.5903343936275427,0.6742178797721863
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,2,foreign,766,194,0.6538633030326186,0.6443298969072165,0.6431827269092363,0.6528757810592651
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,2,institution,766,194,0.6848792702971177,0.520618556701031,0.5190723710515794,0.6938260197639465
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,2,retail,766,194,0.6719665710982081,0.6237113402061856,0.6220140390210052,0.6670517921447754
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,3,foreign,766,194,0.6541554893588273,0.6649484536082474,0.654964839795332,0.6552322506904602
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,3,institution,766,194,0.6866326047297246,0.5618556701030928,0.5453166790746409,0.68914794921875
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,3,retail,766,194,0.6718122750598519,0.6494845360824743,0.6408972125435539,0.6656967401504517
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,4,foreign,766,194,0.6545743003837745,0.6237113402061856,0.6138513974096796,0.65382981300354
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,4,institution,766,194,0.6867815807033768,0.5515463917525774,0.5451532055946318,0.688823401927948
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,4,retail,766,194,0.6646957036409303,0.520618556701031,0.4958504484868807,0.6895467042922974
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,5,foreign,766,194,0.6599389784641116,0.7010309278350515,0.669408861205782,0.6272386908531189
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,5,institution,766,194,0.6822480218528767,0.5051546391752577,0.4930313588850173,0.7056497931480408
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,5,retail,766,194,0.6738139286676212,0.6597938144329897,0.631221198156682,0.6626488566398621
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,6,foreign,766,194,0.6536997127159457,0.6649484536082474,0.628188117352204,0.655170738697052
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,6,institution,766,194,0.6852909840118169,0.520618556701031,0.5111496464085404,0.6979267597198486
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,6,retail,766,194,0.669096168432161,0.6237113402061856,0.5853608549260723,0.6746299266815186
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,7,foreign,766,194,0.6543190726723435,0.654639175257732,0.6512944332662642,0.6482219696044922
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,7,institution,766,194,0.6852915132948375,0.520618556701031,0.5125233038826295,0.6927873492240906
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,7,retail,766,194,0.667363138952081,0.5670103092783505,0.5613695090439277,0.6755148768424988
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,8,foreign,769,197,0.6636138701004852,0.6294416243654822,0.6290975678951848,0.6794700622558594
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,8,institution,769,197,0.690230441729021,0.5279187817258884,0.5230024213075061,0.6911481618881226
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,8,retail,769,197,0.6726525558451837,0.5634517766497462,0.5620864350703061,0.6810846328735352
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,9,foreign,772,194,0.6532064537310229,0.6288659793814433,0.6269230769230769,0.6651537418365479
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,9,institution,772,194,0.6920751413533107,0.6082474226804123,0.6048456260720412,0.6894341111183167
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,9,retail,772,194,0.6675855637832009,0.5412371134020618,0.5412249236083433,0.6984504461288452
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,10,foreign,765,194,0.6486247235653447,0.6237113402061856,0.6138513974096796,0.6751351356506348
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,10,institution,765,194,0.6865321715672811,0.5618556701030928,0.5566608415109557,0.690772533416748
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,10,retail,765,194,0.6677989549107022,0.5876288659793815,0.578855964398133,0.6902132034301758
ep_25_lr_0p00075_l1_0p0003,25,0.00075,0.0003,11,foreign,765,194,0.6508433944259594,0.6185567010309279,0.617540494458653,0.6640635132789612
