experiment,epochs,batch_size,learning_rate,lambda_l1,investor,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,accuracy_rank,nll_rank
ep_18_bs_512_lr_0p002_l1_0p0003,18,512,0.002,0.0003,institution,0.5386153121565754,0.0352845696107821,0.5289833704716473,0.03405438100870172,0.6962895817226834,0.010712106496264683,3.0,20.0
ep_18_bs_512_lr_0p0015_l1_0p0003,18,512,0.0015,0.0003,institution,0.538505997755566,0.034509807078179286,0.529214761073184,0.033606823643863595,0.6947334382269118,0.00850278942039994,4.0,17.0
ep_18_bs_512_lr_0p0013_l1_0p0003,18,512,0.0013,0.0003,institution,0.5383949389758171,0.035974672473686624,0.5293503406465392,0.035653006258528575,0.6941380924648709,0.007494453788489216,5.0,14.0
ep_12_bs_512_lr_0p0015_l1_0p0003,12,512,0.0015,0.0003,institution,0.5380582738790912,0.03731721540008769,0.529047102251466,0.037643823735077964,0.6934504336780972,0.006230456800670301,6.0,9.0
ep_12_bs_512_lr_0p0017_l1_0p0003,12,512,0.0017,0.0003,institution,0.5380582738790912,0.03742845123103962,0.5292031088090692,0.03741811006069507,0.693832082218594,0.007050449618508492,6.0,11.0
ep_12_bs_512_lr_0p0013_l1_0p0003,12,512,0.0013,0.0003,institution,0.5379507038568214,0.03808556650328056,0.5289609683136179,0.03870202988339853,0.6931108395258586,0.005389134271440248,8.0,6.0
ep_10_bs_512_lr_0p0017_l1_0p0003,10,512,0.0017,0.0003,institution,0.5378274344258959,0.03711070215712594,0.5291434078144677,0.03725518480578203,0.6933464858267042,0.006010822848484509,9.0,8.0
ep_15_bs_512_lr_0p0013_l1_0p0003,15,512,0.0013,0.0003,institution,0.5376035724876584,0.03662552988650361,0.5287825732334788,0.03647825024335734,0.6936191095246209,0.0065165444931029395,10.0,10.0
ep_10_bs_512_lr_0p002_l1_0p0003,10,512,0.002,0.0003,institution,0.5374890249504306,0.0379172101922786,0.5287947666252202,0.037745852766247284,0.6938326597213745,0.00708112494919878,11.0,12.0
ep_15_bs_512_lr_0p0017_l1_0p0003,15,512,0.0017,0.0003,institution,0.5371384048237886,0.03545348150158356,0.5279764618023008,0.034886401589328785,0.6946147415373061,0.008368821807212441,12.0,16.0
ep_8_bs_512_lr_0p002_l1_0p0003,8,512,0.002,0.0003,institution,0.5371349160663096,0.03962527248600195,0.5285355194011967,0.0398706207796363,0.6932682010862562,0.0057820589803980384,13.0,7.0
ep_12_bs_512_lr_0p002_l1_0p0003,12,512,0.002,0.0003,institution,0.5370290904227792,0.03611390768916572,0.5281307418339938,0.035698284672790855,0.6944607999589708,0.008230288286471306,14.0,15.0
ep_15_bs_512_lr_0p0015_l1_0p0003,15,512,0.0015,0.0003,institution,0.5369145428855513,0.03660371624818763,0.5279967625936599,0.03640032490620933,0.6941001627180311,0.007466324812539731,15.0,13.0
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,institution,0.5367860403184073,0.037056380728984456,0.5281737928122702,0.037874181164175715,0.6926183568106757,0.0036509098400342764,16.0,1.0
ep_10_bs_512_lr_0p0013_l1_0p0003,10,512,0.0013,0.0003,institution,0.5364546083578999,0.03761577079895884,0.5276490948653005,0.03820093386533717,0.692826223373413,0.00454627444517066,17.0,3.0
ep_8_bs_512_lr_0p0017_l1_0p0003,8,512,0.0017,0.0003,institution,0.5363400608206721,0.03775827495866949,0.5277942323017795,0.03820306442802268,0.6929367780685425,0.0048680737029736885,18.0,4.0
ep_10_bs_512_lr_0p0015_l1_0p0003,10,512,0.0015,0.0003,institution,0.5361179432611742,0.037680509351008896,0.5272308998869168,0.03806357886103193,0.6930646393034193,0.005282101377999265,19.0,5.0
ep_8_bs_512_lr_0p0015_l1_0p0003,8,512,0.0015,0.0003,institution,0.5357638343770532,0.03756126429512645,0.5270708833549641,0.03823578267596878,0.692757581339942,0.0042579282602656756,20.0,2.0
ep_15_bs_512_lr_0p0015_l1_0p0003,15,512,0.0015,0.0003,retail,0.600836138875806,0.0515505570700198,0.5881225858684321,0.0536268511547479,0.6784272789955139,0.014649577579098428,1.0,8.0
ep_18_bs_512_lr_0p0013_l1_0p0003,18,512,0.0013,0.0003,retail,0.6006052994226107,0.05134603183136577,0.587811438892238,0.05374808860131784,0.6782680961820814,0.01495709464665021,2.0,7.0
ep_15_bs_512_lr_0p0017_l1_0p0003,15,512,0.0017,0.0003,retail,0.6003779487268942,0.05224670516407323,0.5873269705557786,0.05458934302361205,0.6780120200581021,0.01660058572506319,3.0,5.0
ep_18_bs_512_lr_0p0015_l1_0p0003,18,512,0.0015,0.0003,retail,0.6002616568109268,0.05187025340402502,0.587186218158039,0.054381720009622284,0.6778432157304551,0.01717279813437677,4.0,4.0
