experiment,epochs,batch_size,learning_rate,lambda_l1,split,investor,train_size,test_size,train_nll,accuracy,macro_f1,nll
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,18,retail,765,194,0.6823883450109195,0.6701030927835051,0.664069264069264,0.6782733201980591
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,19,foreign,765,194,0.673558937490376,0.6494845360824743,0.6420275697384131,0.6765602231025696
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,19,institution,765,194,0.6906597650129032,0.5876288659793815,0.5874534821903243,0.6866848468780518
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,19,retail,765,194,0.679374079299129,0.5257731958762887,0.5170995670995671,0.6885345578193665
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,20,foreign,765,194,0.6764754366251379,0.6855670103092784,0.6831338527860337,0.6590899229049683
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,20,institution,765,194,0.6878979459307553,0.5309278350515464,0.5186366734832992,0.6984668374061584
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,20,retail,765,194,0.6838310018863554,0.6494845360824743,0.6488874693921005,0.671610951423645
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,21,foreign,765,194,0.6741449519699695,0.6597938144329897,0.6580128205128205,0.6750743985176086
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,21,institution,765,194,0.6896367733774621,0.4793814432989691,0.4743393695506371,0.6951496601104736
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,21,retail,765,194,0.6804647627998801,0.6030927835051546,0.6029978472905095,0.6833968758583069
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,22,foreign,765,194,0.6721312277457293,0.6391752577319587,0.6263070996147495,0.6855325698852539
ep_8_bs_512_lr_0p0013_l1_0p0003,8,512,0.0013,0.0003,22,institution,765,194,0.6896007592381995,0.5515463917525774,0.5397955010224949,0.6897915005683899
