experiment,epochs,batch_size,learning_rate,lambda_l1,split,investor,train_size,test_size,train_nll,accuracy,macro_f1,nll
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,26,retail,765,194,0.6845678687095642,0.6649484536082474,0.6508376021043888,0.6734458804130554
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,27,foreign,765,194,0.6742503643035889,0.6237113402061856,0.6110516052841175,0.6812995672225952
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,27,institution,765,194,0.6882075071334839,0.5360824742268041,0.528872099298435,0.6941638588905334
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,27,retail,765,194,0.6821805834770203,0.6597938144329897,0.6525561706284598,0.6810617446899414
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,28,foreign,765,194,0.6736170053482056,0.6237113402061856,0.5881583156425394,0.6858762502670288
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,28,institution,765,194,0.6878606081008911,0.520618556701031,0.5137844611528821,0.6935415863990784
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,28,retail,765,194,0.68153977394104,0.6082474226804123,0.5779228214817359,0.6823684573173523
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,29,foreign,768,197,0.6710116267204285,0.5939086294416244,0.5250723240115719,0.6926842927932739
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,29,institution,768,197,0.6884271502494812,0.5279187817258884,0.5230024213075061,0.6907272934913635
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,29,retail,768,197,0.6809890866279602,0.583756345177665,0.5216180999763089,0.6835275888442993
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,30,foreign,772,194,0.6747158169746399,0.5876288659793815,0.584804708400214,0.6827259659767151
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,30,institution,772,194,0.689531147480011,0.6288659793814433,0.6106155218554862,0.6875810027122498
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,30,retail,772,194,0.6807708144187927,0.5670103092783505,0.5662727563078889,0.6860725283622742
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,31,foreign,765,194,0.6767127513885498,0.6443298969072165,0.6431827269092363,0.6680344939231873
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,31,institution,765,194,0.687091588973999,0.5309278350515464,0.4961038961038961,0.699129581451416
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,31,retail,765,194,0.6847866773605347,0.6804123711340206,0.6802764486975013,0.6740629076957703
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,32,foreign,765,194,0.6741594076156616,0.6288659793814433,0.6248791492104415,0.6820929050445557
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,32,institution,765,194,0.688785970211029,0.5721649484536082,0.5541464765332964,0.6942675113677979
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,32,retail,765,194,0.6824429631233215,0.6701030927835051,0.6697872340425532,0.6799976825714111
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,33,foreign,765,194,0.6749527454376221,0.6494845360824743,0.6440366972477064,0.6796033978462219
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,33,institution,765,194,0.6884306073188782,0.5412371134020618,0.5071785357499643,0.6918776035308838
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,33,retail,765,194,0.6820666193962097,0.6391752577319587,0.6247789566755084,0.6791795492172241
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,34,foreign,768,197,0.6726852059364319,0.6294416243654822,0.6193992324996692,0.6844741702079773
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,34,institution,768,197,0.6888371109962463,0.4720812182741117,0.4548744146445296,0.6930721402168274
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,34,retail,768,197,0.6817013621330261,0.6294416243654822,0.6039274009198821,0.6783814430236816
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,35,foreign,772,194,0.6766451597213745,0.6185567010309279,0.6179069519855211,0.6671299934387207
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,35,institution,772,194,0.6876741647720337,0.520618556701031,0.5137844611528821,0.6974445581436157
ep_35_bs_2048_lr_0p0005_l1_0p01,35,2048,0.0005,0.01,35,retail,772,194,0.6822059750556946,0.5515463917525774,0.5472032193158953,0.6828622221946716
