split,investor,train_size,test_size,train_mse,train_rmse,mae,rmse,mse,direction_accuracy,correlation,saturation_rate,actual_mean,predicted_mean
24,institution,772,194,0.015711477026343346,0.12534543081557997,0.08478935208224413,0.11127025891814839,0.01238107051971178,0.5309278350515464,0.28889127381877466,0.0,0.002270632681194405,0.004119015881160428
24,retail,772,194,0.09141153838350365,0.30234341134462256,0.27812277362681925,0.3292783343607506,0.10842422147939026,0.6752577319587629,0.29355481168952446,0.0,-0.13871639712291203,-0.07839629282579594
25,foreign,765,194,0.05244143303313287,0.22900094548523783,0.1881448633011104,0.24115983059174906,0.058158063891041105,0.6701030927835051,0.2778847704324683,0.0,0.10900538176245335,0.06181819633503934
25,institution,765,194,0.01573161967098713,0.1254257536193709,0.0819896299172356,0.11004495169073361,0.012109891392615896,0.5567010309278351,0.15829950111943544,0.0,-0.016062217480118973,0.0003247150770849404
25,retail,765,194,0.09220977932993883,0.30366063184077524,0.2607192274653497,0.3142154616709593,0.09873135635309412,0.6237113402061856,0.26464980777105224,0.0,-0.09275007449551341,-0.06648078321277634
26,foreign,765,194,0.04957430709908211,0.22265288477601655,0.20884882792057566,0.26368343783638626,0.06952895538921539,0.6855670103092784,0.42110014726634615,0.0,0.0459755746726926,0.026785701342867976
26,institution,765,194,0.015171716921031475,0.12317352362026295,0.08805859767031957,0.12289392174127772,0.015102916000951292,0.5309278350515464,0.09939417377442643,0.0,-0.010412679103799597,0.0033292647177526323
26,retail,765,194,0.09521783222170437,0.30857386833901596,0.25719484844072193,0.30651534762565336,0.09395165833007511,0.654639175257732,0.4271848552631262,0.0,-0.05112112596026171,-0.03807226266980786
27,foreign,765,194,0.05266213784225626,0.2294823257731546,0.18159590739896042,0.2365149392776612,0.05593931650151576,0.6855670103092784,0.43742251954382144,0.0,0.012226157143625632,-0.0005824624599178427
27,institution,765,194,0.01627786085009575,0.1275847202845848,0.0803112616405772,0.10290744319179375,0.010589941864272256,0.4948453608247423,0.09564746690017911,0.0,-0.0025993745815136096,-0.0015971008346166422
27,retail,765,194,0.09704633326896656,0.3115226047479806,0.2295060679196505,0.282227971098161,0.0796526276701844,0.634020618556701,0.42309762580600474,0.0,-0.05996827622539527,-0.026253441041431475
28,foreign,765,194,0.05202931139399024,0.22809934544840377,0.19427367925767536,0.24379326245848512,0.05943515482015181,0.6494845360824743,0.3047573201053947,0.0,0.07685694774671592,0.06509570787257525
28,institution,765,194,0.01646219938993454,0.12830510274316662,0.08088724932647742,0.09924045990144173,0.009848668881449663,0.5412371134020618,0.11694958360792301,0.0,-0.005998571885788103,0.00459942050979079
28,retail,765,194,0.08864566433468675,0.29773421760806523,0.281763401645783,0.3367244348011317,0.11338334499214159,0.654639175257732,0.31842171410090725,0.0,-0.09465812926766337,-0.09287317624296416
29,foreign,768,197,0.050864674150943756,0.2255319803286083,0.2037153080221606,0.2594318838693374,0.06730490236799337,0.6243654822335025,0.10968604282521982,0.0,0.10182870557853187,0.09719023712069212
29,institution,768,197,0.014895652420818806,0.12204774647988714,0.09922137112016341,0.12586543143812784,0.015842106831106057,0.47715736040609136,0.08356325785762476,0.0,0.012966114748742073,-0.003089276158964725
29,retail,768,197,0.08982817580302556,0.2997134895246218,0.2818574551339285,0.3373424888560824,0.11379995478761609,0.6395939086294417,0.13927295031164072,0.0,-0.15443401424176423,-0.09555461722766498
30,foreign,772,194,0.05645769848029848,0.2376082879032179,0.16087103305989398,0.20868613171954417,0.043549901572066944,0.6134020618556701,0.3411650130346805,0.0,0.05070206205139762,0.029866389721420777
30,institution,772,194,0.015015752986073494,0.12253878155944548,0.08979497434821618,0.12337628991041244,0.01522170891205814,0.6082474226804123,0.29801511473419695,0.0,-0.006526270091891308,0.0004903746841741802
30,retail,772,194,0.09403043024126112,0.3066438165710522,0.2519030263251385,0.3049342490044418,0.09298489621590293,0.634020618556701,0.30044875563468,0.0,-0.032488180960518954,-0.03162467324285355
31,foreign,765,194,0.053491492004565946,0.23128227775721585,0.18063497147042804,0.23429051000046705,0.05489204307627896,0.6288659793814433,0.40020586279905634,0.0,-0.012327745038363123,0.0009302948625547063
31,institution,765,194,0.014303196221590042,0.11959597075817413,0.09652261243195191,0.13548308476952228,0.018355666258665557,0.5876288659793815,0.16180705974310358,0.0,-0.0008767317155719322,0.004065133646831454
31,retail,765,194,0.0974999284724784,0.3122497853841991,0.2454026420552706,0.2944391405894329,0.0866944075110438,0.6701030927835051,0.4444160901099148,0.0,0.009140767574732759,-0.004451080614259255
32,foreign,765,194,0.05691343094496166,0.2385653599015617,0.15003993954586306,0.1979298538381271,0.039176227040382365,0.6701030927835051,0.39883519671013257,0.0,-0.04607716256743009,-0.029233390616598662
32,institution,765,194,0.015434942208230495,0.12423744285935097,0.08724728569569314,0.1161911734724601,0.013500388792907315,0.5463917525773195,0.24696343791680708,0.0,0.006936572806714054,-0.0008077565863393679
32,retail,765,194,0.09927590788384669,0.3150807958029919,0.22037697628802938,0.27114606096825383,0.07352018637860001,0.654639175257732,0.4239403902765415,0.0,0.0002936173095991931,0.011646950346196895
33,foreign,765,194,0.05571228113828921,0.23603449141659194,0.16661464273971602,0.2119737595642831,0.0449328747438165,0.6185567010309279,0.3311006606182133,0.0,0.0185536280356602,0.042185811877980366
33,institution,765,194,0.015624653548002243,0.12499861418432703,0.08815192764345317,0.11324488421971304,0.012824403801936213,0.5979381443298969,0.26292379985115527,0.0,0.0035373755024395615,0.0018610822909377208
33,retail,765,194,0.09050316299293555,0.30083743615603353,0.27472634709286553,0.3309571305987002,0.10953262229412508,0.6494845360824743,0.34765165576694085,0.0,-0.034396235732668916,-0.0592674215506647
34,foreign,768,197,0.05448421090841293,0.23341853163023055,0.17625348908628152,0.22871461470207335,0.052310374978317864,0.5888324873096447,0.1849558909211619,0.0,0.04441325368033486,0.07189564564180215
34,institution,768,197,0.01400397066026926,0.11833837357454792,0.10854014883977291,0.13964292295008604,0.019500145930043664,0.5279187817258884,0.15450835430030102,0.0,0.022356844664052564,-0.007584499064029246
34,retail,768,197,0.09184127549330394,0.3030532552098788,0.2719410903146727,0.32602939722849716,0.1062951678571772,0.6395939086294417,0.2753083151052615,0.0,-0.09508981451694735,-0.06847179605422286
35,foreign,772,194,0.05114710302010101,0.22615725285761015,0.20444426029565332,0.2590618721349593,0.06711305359407,0.6391752577319587,0.3488048234591712,0.0,-0.007389159925934887,-0.0023312249998610046
35,institution,772,194,0.014342974871397018,0.11976215959724933,0.09381759661317625,0.1341675406761839,0.018000928971095457,0.5618556701030928,0.10307488724858471,0.0,-0.01920958187688531,-0.0005160078076890564
