split,investor,context,weight
40,foreign,fx_level_z_252,-0.03931063041090965
40,institution,kospi_return_1d,-0.021358733996748924
40,institution,fx_level_z_252,-0.0029609869234263897
40,retail,kospi_return_1d,0.033774327486753464
40,retail,fx_level_z_252,0.05425649881362915
41,foreign,kospi_return_1d,0.010045258328318596
41,foreign,fx_level_z_252,-0.0334223248064518
41,institution,kospi_return_1d,-0.01729331724345684
41,institution,fx_level_z_252,-0.004258319269865751
41,retail,kospi_return_1d,0.025140291079878807
41,retail,fx_level_z_252,0.04083091393113136
42,foreign,kospi_return_1d,-0.0022358389105647802
42,foreign,fx_level_z_252,-0.02460447885096073
42,institution,kospi_return_1d,-0.019484005868434906
42,institution,fx_level_z_252,-0.0059816064313054085
42,retail,kospi_return_1d,0.032213300466537476
42,retail,fx_level_z_252,0.038482099771499634
43,foreign,kospi_return_1d,0.013822193257510662
43,foreign,fx_level_z_252,-0.017423762008547783
43,institution,kospi_return_1d,-0.016374263912439346
43,institution,fx_level_z_252,-0.008461047895252705
43,retail,kospi_return_1d,0.02272087149322033
43,retail,fx_level_z_252,0.031272441148757935
44,foreign,kospi_return_1d,0.01578795351088047
44,foreign,fx_level_z_252,-0.029011135920882225
44,institution,kospi_return_1d,-0.015774060040712357
44,institution,fx_level_z_252,-0.0034583962988108397
44,retail,kospi_return_1d,0.01713748648762703
44,retail,fx_level_z_252,0.034081291407346725
