split,investor,feature,context,weight
16,foreign,underwater,fx_level_z_252,-0.008801779709756374
16,institution,momentum,kospi_return_1d,-0.0016818157164379954
16,institution,momentum,fx_level_z_252,-7.55610890337266e-05
16,institution,persist,kospi_return_1d,-0.0068999482318758965
16,institution,persist,fx_level_z_252,-0.0010607668664306402
16,institution,underwater,kospi_return_1d,0.004325677640736103
16,institution,underwater,fx_level_z_252,0.0013819279847666621
16,retail,momentum,kospi_return_1d,-0.006510020233690739
16,retail,momentum,fx_level_z_252,-0.0009628107072785497
16,retail,persist,kospi_return_1d,-0.01774262823164463
16,retail,persist,fx_level_z_252,0.010255126282572746
16,retail,underwater,kospi_return_1d,-0.002066652989014983
16,retail,underwater,fx_level_z_252,-0.02953278087079525
17,foreign,momentum,kospi_return_1d,-0.009365081787109375
17,foreign,momentum,fx_level_z_252,-0.003347776597365737
17,foreign,persist,kospi_return_1d,-0.007195612415671349
17,foreign,persist,fx_level_z_252,0.0008071312331594527
17,foreign,underwater,kospi_return_1d,-9.12664836505428e-05
17,foreign,underwater,fx_level_z_252,-0.004338759928941727
17,institution,momentum,kospi_return_1d,-0.0012794937938451767
17,institution,momentum,fx_level_z_252,6.332567863864824e-05
17,institution,persist,kospi_return_1d,-0.0006657246267423034
17,institution,persist,fx_level_z_252,-0.00014407475828193128
17,institution,underwater,kospi_return_1d,0.004964474588632584
17,institution,underwater,fx_level_z_252,0.002970396773889661
17,retail,momentum,kospi_return_1d,0.0002844699483830482
17,retail,momentum,fx_level_z_252,0.00040780261042527854
17,retail,persist,kospi_return_1d,-0.02381867542862892
17,retail,persist,fx_level_z_252,-0.005583006888628006
17,retail,underwater,kospi_return_1d,-0.0012283765245229006
17,retail,underwater,fx_level_z_252,-0.019102828577160835
18,foreign,momentum,kospi_return_1d,-0.00957399606704712
18,foreign,momentum,fx_level_z_252,-0.0007778819417580962
18,foreign,persist,kospi_return_1d,-0.005655671004205942
18,foreign,persist,fx_level_z_252,-0.0003109017270617187
18,foreign,underwater,kospi_return_1d,-0.0005928396712988615
18,foreign,underwater,fx_level_z_252,-0.01787230558693409
18,institution,momentum,kospi_return_1d,-0.0010034249862655997
18,institution,momentum,fx_level_z_252,0.0005968910991214216
18,institution,persist,kospi_return_1d,-0.0009779658867046237
18,institution,persist,fx_level_z_252,7.622278644703329e-06
18,institution,underwater,kospi_return_1d,0.0040790787898004055
18,institution,underwater,fx_level_z_252,0.002623716602101922
18,retail,momentum,kospi_return_1d,0.0015317024663090706
18,retail,momentum,fx_level_z_252,-0.0003023562312591821
18,retail,persist,kospi_return_1d,-0.02066318318247795
18,retail,persist,fx_level_z_252,-0.0019121189834550023
18,retail,underwater,kospi_return_1d,0.00015545074711553752
18,retail,underwater,fx_level_z_252,-0.027907712385058403
19,foreign,momentum,kospi_return_1d,-0.00896385870873928
19,foreign,momentum,fx_level_z_252,-0.00235836673527956
19,foreign,persist,kospi_return_1d,-0.0022464506328105927
19,foreign,persist,fx_level_z_252,0.00036048333276994526
19,foreign,underwater,kospi_return_1d,-0.0021632020361721516
19,foreign,underwater,fx_level_z_252,-0.001006480073556304
19,institution,momentum,kospi_return_1d,-0.0018010969506576657
19,institution,momentum,fx_level_z_252,0.0002866031718440354
19,institution,persist,kospi_return_1d,-0.0004221071721985936
19,institution,persist,fx_level_z_252,-0.0004972232272848487
19,institution,underwater,kospi_return_1d,0.001411023666150868
19,institution,underwater,fx_level_z_252,0.0002914796641562134
19,retail,momentum,kospi_return_1d,0.004597698338329792
19,retail,momentum,fx_level_z_252,-0.0011994539527222514
19,retail,persist,kospi_return_1d,-0.009640004485845566
19,retail,persist,fx_level_z_252,0.00045624797348864377
19,retail,underwater,kospi_return_1d,-9.828123438637704e-05
19,retail,underwater,fx_level_z_252,-0.03001965582370758
20,foreign,momentum,kospi_return_1d,-0.013457953929901123
20,foreign,momentum,fx_level_z_252,0.0004019234620500356
20,foreign,persist,kospi_return_1d,0.00017616560216993093
20,foreign,persist,fx_level_z_252,0.000994927599094808
20,foreign,underwater,kospi_return_1d,0.00021410721819847822
20,foreign,underwater,fx_level_z_252,-0.003937278408557177
20,institution,momentum,kospi_return_1d,0.0017715153517201543
20,institution,momentum,fx_level_z_252,0.00016133859753608704
20,institution,persist,kospi_return_1d,-0.0014673618134111166
20,institution,persist,fx_level_z_252,0.00013780832523480058
20,institution,underwater,kospi_return_1d,0.0018145886715501547
20,institution,underwater,fx_level_z_252,0.0005182459717616439
20,retail,momentum,kospi_return_1d,-0.0003370267804712057
20,retail,momentum,fx_level_z_252,-0.0014086294686421752
20,retail,persist,kospi_return_1d,-0.004827060736715794
20,retail,persist,fx_level_z_252,0.0001502381346654147
20,retail,underwater,kospi_return_1d,-0.001672427519224584
20,retail,underwater,fx_level_z_252,-0.013573238626122475
21,foreign,momentum,kospi_return_1d,-0.0100108552724123
21,foreign,momentum,fx_level_z_252,-0.0030879515688866377
21,foreign,persist,kospi_return_1d,-0.0002973078517243266
21,foreign,persist,fx_level_z_252,0.002809263300150633
21,foreign,underwater,kospi_return_1d,-0.0038116148207336664
21,foreign,underwater,fx_level_z_252,-0.009809394367039204
21,institution,momentum,kospi_return_1d,-0.0017248943913727999
21,institution,momentum,fx_level_z_252,5.3160591050982475e-05
