coefficient,split,investor,feature,weight,parameter_type,parameter,mean,std,positive_rate,negative_rate,split_count,direction_consistency,context
beta,5,foreign,momentum,0.0564001314342021,β 보상가중치,모멘텀,0.06659317687153811,0.008179509724259416,1.0,0.0,45,1.0,
beta,5,foreign,herd,-0.0189854651689529,β 보상가중치,군집,-0.03611457621057823,0.006766294609670223,0.0,1.0,45,1.0,
beta,5,foreign,underwater,0.0081938691437244,β 보상가중치,손실구간,0.015271047664444018,0.007234747054512887,0.9555555555555556,0.044444444444444446,45,0.9555555555555556,
beta,5,institution,momentum,-0.0001678433909546,β 보상가중치,모멘텀,-0.0007514683017992099,0.0013180453731880448,0.3111111111111111,0.6888888888888889,45,0.6888888888888889,
beta,5,institution,herd,-0.0047094440087676,β 보상가중치,군집,-0.004340239058041686,0.0005725782869067401,0.0,1.0,45,1.0,
beta,5,institution,underwater,-8.271934348158538e-06,β 보상가중치,손실구간,-0.0009217574499618339,0.0009719467350269731,0.1111111111111111,0.8888888888888888,45,0.8888888888888888,
beta,5,retail,momentum,-0.0306314136832952,β 보상가중치,모멘텀,-0.031922012112206834,0.0010690177093867406,0.0,1.0,45,1.0,
beta,5,retail,herd,-0.030242845416069,β 보상가중치,군집,-0.032101515059669766,0.0011223234036377826,0.0,1.0,45,1.0,
beta,5,retail,underwater,0.0282302182167768,β 보상가중치,손실구간,0.029702179671989494,0.0023067850777394533,1.0,0.0,45,1.0,
beta,6,foreign,momentum,0.0679350793361663,β 보상가중치,모멘텀,0.06659317687153811,0.008179509724259416,1.0,0.0,45,1.0,
beta,6,foreign,herd,-0.0243664178997278,β 보상가중치,군집,-0.03611457621057823,0.006766294609670223,0.0,1.0,45,1.0,
beta,6,foreign,underwater,0.0032205167226493,β 보상가중치,손실구간,0.015271047664444018,0.007234747054512887,0.9555555555555556,0.044444444444444446,45,0.9555555555555556,
beta,6,institution,momentum,-0.0002072626084554,β 보상가중치,모멘텀,-0.0007514683017992099,0.0013180453731880448,0.3111111111111111,0.6888888888888889,45,0.6888888888888889,
beta,6,institution,herd,-0.0047044572420418,β 보상가중치,군집,-0.004340239058041686,0.0005725782869067401,0.0,1.0,45,1.0,
beta,6,institution,underwater,-0.0029062915127724,β 보상가중치,손실구간,-0.0009217574499618339,0.0009719467350269731,0.1111111111111111,0.8888888888888888,45,0.8888888888888888,
beta,6,retail,momentum,-0.0330513194203376,β 보상가중치,모멘텀,-0.031922012112206834,0.0010690177093867406,0.0,1.0,45,1.0,
beta,6,retail,herd,-0.0318392068147659,β 보상가중치,군집,-0.032101515059669766,0.0011223234036377826,0.0,1.0,45,1.0,
beta,6,retail,underwater,0.032118584960699,β 보상가중치,손실구간,0.029702179671989494,0.0023067850777394533,1.0,0.0,45,1.0,
beta,7,foreign,momentum,0.0730558410286903,β 보상가중치,모멘텀,0.06659317687153811,0.008179509724259416,1.0,0.0,45,1.0,
beta,7,foreign,herd,-0.0291161313652992,β 보상가중치,군집,-0.03611457621057823,0.006766294609670223,0.0,1.0,45,1.0,
beta,7,foreign,underwater,0.0123377097770571,β 보상가중치,손실구간,0.015271047664444018,0.007234747054512887,0.9555555555555556,0.044444444444444446,45,0.9555555555555556,
beta,7,institution,momentum,-0.0003804106963798,β 보상가중치,모멘텀,-0.0007514683017992099,0.0013180453731880448,0.3111111111111111,0.6888888888888889,45,0.6888888888888889,
beta,7,institution,herd,-0.0047110808081924,β 보상가중치,군집,-0.004340239058041686,0.0005725782869067401,0.0,1.0,45,1.0,
beta,7,institution,underwater,-0.0016653884667903,β 보상가중치,손실구간,-0.0009217574499618339,0.0009719467350269731,0.1111111111111111,0.8888888888888888,45,0.8888888888888888,
beta,7,retail,momentum,-0.0319681726396083,β 보상가중치,모멘텀,-0.031922012112206834,0.0010690177093867406,0.0,1.0,45,1.0,
