variant,investor,feature,context,mean,std,positive_rate,negative_rate,dominant_direction,direction_consistency
t5_ep50_lr0p001_l10p0003,institution,volatility,kospi_return_1d,-0.00071623648744,0.0028948265485262,0.2888888888888888,0.7111111111111111,negative,0.7111111111111111
t5_ep50_lr0p001_l10p0003,institution,volatility,fx_level_z_252,0.011211000662297,0.0031348296031819,1.0,0.0,positive,1.0
t5_ep50_lr0p001_l10p0003,institution,execution_persistence_3,kospi_return_1d,0.0,0.0,0.0,0.0,zero,1.0
t5_ep50_lr0p001_l10p0003,institution,execution_persistence_3,fx_level_z_252,0.0,0.0,0.0,0.0,zero,1.0
t6_ep50_lr0p001_l10,institution,underwater,kospi_return_1d,0.0108012589832974,0.0028362985288216,1.0,0.0,positive,1.0
t6_ep50_lr0p001_l10,institution,underwater,fx_level_z_252,0.0026637026707046,0.0028006809142304,0.8444444444444444,0.1555555555555555,positive,0.8444444444444444
t6_ep50_lr0p001_l10,institution,herd,kospi_return_1d,-0.0012466256421046,0.0027043547244513,0.3111111111111111,0.6888888888888889,negative,0.6888888888888889
t6_ep50_lr0p001_l10,institution,herd,fx_level_z_252,-0.0016931444917039,0.0023952790196742,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
t6_ep50_lr0p001_l10,institution,momentum,kospi_return_1d,-0.0002574555769873,0.0025943864096921,0.3555555555555555,0.6444444444444445,negative,0.6444444444444445
t6_ep50_lr0p001_l10,institution,momentum,fx_level_z_252,0.0008004168578837,0.0018331595391868,0.6444444444444445,0.3555555555555555,positive,0.6444444444444445
t6_ep50_lr0p001_l10,institution,volatility,kospi_return_1d,-0.0007231870528711,0.0030519701432401,0.3111111111111111,0.6888888888888889,negative,0.6888888888888889
t6_ep50_lr0p001_l10,institution,volatility,fx_level_z_252,0.0113755115721788,0.0031795025560709,1.0,0.0,positive,1.0
t6_ep50_lr0p001_l10,institution,execution_persistence_3,kospi_return_1d,0.0,0.0,0.0,0.0,zero,1.0
t6_ep50_lr0p001_l10,institution,execution_persistence_3,fx_level_z_252,0.0,0.0,0.0,0.0,zero,1.0
t7_ep20_lr0p0005_l10p01,institution,underwater,kospi_return_1d,0.0043748561137666,0.001764038525493,1.0,0.0,positive,1.0
t7_ep20_lr0p0005_l10p01,institution,underwater,fx_level_z_252,0.0002527040360291,0.0003524666809047,0.8222222222222222,0.1777777777777777,positive,0.8222222222222222
t7_ep20_lr0p0005_l10p01,institution,herd,kospi_return_1d,-0.0001997039563017,0.0003851709995589,0.3111111111111111,0.6888888888888889,negative,0.6888888888888889
t7_ep20_lr0p0005_l10p01,institution,herd,fx_level_z_252,-0.0009103260234244,0.001320044758914,0.3111111111111111,0.6888888888888889,negative,0.6888888888888889
t7_ep20_lr0p0005_l10p01,institution,momentum,kospi_return_1d,-0.0001056404730762,0.0004097543808638,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
t7_ep20_lr0p0005_l10p01,institution,momentum,fx_level_z_252,8.005306063852105e-05,0.0002338084168685,0.5555555555555556,0.4444444444444444,positive,0.5555555555555556
t7_ep20_lr0p0005_l10p01,institution,volatility,kospi_return_1d,-0.0002045168674764,0.0004829388483258,0.3333333333333333,0.6666666666666666,negative,0.6666666666666666
t7_ep20_lr0p0005_l10p01,institution,volatility,fx_level_z_252,0.0071642481696067,0.0014471237624003,1.0,0.0,positive,1.0
t7_ep20_lr0p0005_l10p01,institution,execution_persistence_3,kospi_return_1d,0.0,0.0,0.0,0.0,zero,1.0
t7_ep20_lr0p0005_l10p01,institution,execution_persistence_3,fx_level_z_252,0.0,0.0,0.0,0.0,zero,1.0
t8_ep30_lr0p0005_l10p01,institution,underwater,kospi_return_1d,0.0044663995297418,0.0019642643695381,1.0,0.0,positive,1.0
t8_ep30_lr0p0005_l10p01,institution,underwater,fx_level_z_252,0.0002937923700099,0.0004469110293171,0.8666666666666667,0.1333333333333333,positive,0.8666666666666667
t8_ep30_lr0p0005_l10p01,institution,herd,kospi_return_1d,-0.0001153532428159,0.0002023750505305,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
t8_ep30_lr0p0005_l10p01,institution,herd,fx_level_z_252,-0.000455356165993,0.0007690651889775,0.1777777777777777,0.8222222222222222,negative,0.8222222222222222
t8_ep30_lr0p0005_l10p01,institution,momentum,kospi_return_1d,-0.0001531553210144,0.0004137165881061,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
t8_ep30_lr0p0005_l10p01,institution,momentum,fx_level_z_252,6.48460862268823e-05,0.0001281113152257,0.6222222222222222,0.3777777777777777,positive,0.6222222222222222
t8_ep30_lr0p0005_l10p01,institution,volatility,kospi_return_1d,-0.0001554276969222,0.0003750303407913,0.3111111111111111,0.6888888888888889,negative,0.6888888888888889
t8_ep30_lr0p0005_l10p01,institution,volatility,fx_level_z_252,0.0080051700118929,0.0024541096711472,1.0,0.0,positive,1.0
t8_ep30_lr0p0005_l10p01,institution,execution_persistence_3,kospi_return_1d,0.0,0.0,0.0,0.0,zero,1.0
t8_ep30_lr0p0005_l10p01,institution,execution_persistence_3,fx_level_z_252,0.0,0.0,0.0,0.0,zero,1.0
t9_ep20_lr0p001_l10p01,institution,underwater,kospi_return_1d,0.0045207157084304,0.0021546075322665,1.0,0.0,positive,1.0
t9_ep20_lr0p001_l10p01,institution,underwater,fx_level_z_252,0.0004782129408138,0.0006205697520324,0.8444444444444444,0.1555555555555555,positive,0.8444444444444444
t9_ep20_lr0p001_l10p01,institution,herd,kospi_return_1d,-0.0002543790257833,0.0003232411322612,0.2,0.8,negative,0.8
t9_ep20_lr0p001_l10p01,institution,herd,fx_level_z_252,-0.0005437275756978,0.0006467102416483,0.1555555555555555,0.8444444444444444,negative,0.8444444444444444
t9_ep20_lr0p001_l10p01,institution,momentum,kospi_return_1d,-0.0002964202038128,0.000522361810255,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
t9_ep20_lr0p001_l10p01,institution,momentum,fx_level_z_252,0.0001841842965303,0.0003376232501079,0.6666666666666666,0.3333333333333333,positive,0.6666666666666666
t9_ep20_lr0p001_l10p01,institution,volatility,kospi_return_1d,-0.0002260165427287,0.0004569863127534,0.2888888888888888,0.7111111111111111,negative,0.7111111111111111
t9_ep20_lr0p001_l10p01,institution,volatility,fx_level_z_252,0.0085560166147641,0.0032828168546658,1.0,0.0,positive,1.0
t9_ep20_lr0p001_l10p01,institution,execution_persistence_3,kospi_return_1d,0.0,0.0,0.0,0.0,zero,1.0
t9_ep20_lr0p001_l10p01,institution,execution_persistence_3,fx_level_z_252,0.0,0.0,0.0,0.0,zero,1.0
