variant,split,rmse,nrmse,rmse_skill,mse_skill,mae_skill,direction_accuracy,balanced_accuracy,macro_f1,pearson,spearman,std_ratio,tail_direction_accuracy
t0_ep10_lr0p0005_l10p01,19,0.12306686498188206,0.9997990451560187,0.0014815982896312363,0.0029609817646499836,0.007930839160186776,0.5670103092783505,0.5627867278352716,0.5623590074121818,0.14466849604068716,0.11463145048957772,0.061701925330342106,0.5714285714285714
t0_ep10_lr0p0005_l10p01,20,0.13372878849668166,1.0033205279770105,-0.0033179480862455257,-0.00664682819856055,0.0005475031446994238,0.5309278350515464,0.5303191489361703,0.5303163327746295,0.0243827029839689,0.07198251243975297,0.061743945995899455,0.5918367346938775
t0_ep10_lr0p0005_l10p01,21,0.11503503388426624,0.9935306739950583,0.010875941815387646,0.021633577596730902,0.02565005741821036,0.5463917525773195,0.5369678864824496,0.5302146395156851,0.12860861835820595,0.1550385622069827,0.14400916668496727,0.5510204081632653
t0_ep10_lr0p0005_l10p01,22,0.11289022159680231,0.998560737832792,0.0028351489603987146,0.005662308077912792,0.0034492405002289894,0.5103092783505154,0.5098852040816326,0.5092530954599921,0.08321132458921307,0.07913531903703368,0.069276732789658,0.5918367346938775
t0_ep10_lr0p0005_l10p01,23,0.13523151143728682,0.9945308356429957,0.028349817461938764,0.05589595336749431,0.02931880255527175,0.5532994923857868,0.563949843260188,0.5530115511551155,0.18454668178557931,0.17892223802303572,0.08474098927246884,0.72
t0_ep10_lr0p0005_l10p01,24,0.11405194979400587,0.9920949276370497,0.016270533150803956,0.03227632772926958,0.00707918994098633,0.5515463917525774,0.5538150042625746,0.5514391261594068,0.15008523981242156,0.11527408545730215,0.06888170432947639,0.5714285714285714
t0_ep10_lr0p0005_l10p01,25,0.11031811597908649,1.0011139752172902,0.0015953221765293568,0.003188104220249177,-0.0023049768772209767,0.5412371134020618,0.5340810104529616,0.5334900435005809,0.15158620562740335,0.09644044327020665,0.0674589427798692,0.5306122448979592
t0_ep10_lr0p0005_l10p01,26,0.12197865039110065,1.0039499107300718,-0.0038651435660288502,-0.007745275645192562,-0.008137959702248843,0.520618556701031,0.5189962223421478,0.5177354254096389,0.02679422766473779,0.033792573539381934,0.062168782961189405,0.5306122448979592
t0_ep10_lr0p0005_l10p01,27,0.10184376612958808,0.9981826442137793,0.005724573945139033,0.011416306708317392,0.008081266364273643,0.5154639175257731,0.5226595744680851,0.49163693131132913,0.1081477610567655,0.12259453595920665,0.11400671251638138,0.4489795918367347
t0_ep10_lr0p0005_l10p01,28,0.09955145562077802,1.006556477191644,-0.00569401234642819,-0.011420429389349174,-0.015047673326322952,0.4690721649484536,0.48127340823970033,0.4627772550073935,-0.006481385179200214,0.004030849765586157,0.06629720658159899,0.4489795918367347
t0_ep10_lr0p0005_l10p01,29,0.1243564454251202,0.997147225063067,0.026752546402989075,0.05278944999421509,0.01261910599484628,0.5126903553299492,0.5097978547854786,0.5047140163419233,0.11943688550762645,0.10548455653604313,0.08988953523694065,0.62
t0_ep10_lr0p0005_l10p01,30,0.1259719005684163,0.9882378344683028,0.012247817523291848,0.02434572721440087,0.009117028034867691,0.5979381443298969,0.5891472868217054,0.5893845652881797,0.24690379818388655,0.2268641139321124,0.05620392569590554,0.673469387755102
