split,investor,n_epochs,loss_first,loss_last,drop_share_by_80pct_epochs,final_step_share_of_drop,weight_final_step_max_abs,weight_final_step_rel
10,retail,20,0.107314,0.097444,0.9570415400202641,0.01023302938196594,0.0011516523081809,0.03610209255852211
11,foreign,75,0.069488,0.059966,1.0,-0.0009451795841204713,0.0003094607964158006,0.005521305515306919
11,institution,10,0.015929,0.015798,0.9083969465648728,0.053435114503817605,0.00044376309961079944,0.09369076269409331
11,retail,20,0.110593,0.100082,0.9452954048140051,0.011416611169250803,0.0008965153247117996,0.02912591513749659
12,foreign,75,0.066304,0.056888,0.9993627867459645,-0.00021240441801210705,0.0003245341213187,0.006063529241376237
12,institution,10,0.016053,0.015914,0.8633093525179989,0.07194244604316241,0.00046510994434359985,0.0962417096678567
12,retail,20,0.115372,0.102676,0.9364366729678637,0.012681159420289422,0.0011579096317290982,0.03530165364346642
13,foreign,75,0.06265,0.054609,1.0002487252829244,0.001989802263400339,0.0003803381696342997,0.008535835564840047
13,institution,10,0.015641,0.015484,0.8598726114649599,0.07006369426752007,0.00046865083277230005,0.09663537185684194
13,retail,20,0.114976,0.105836,0.9335886214442016,0.012472647702407335,0.0012183748185633989,0.036345586848620076
14,foreign,75,0.06722,0.058628,1.0003491620111735,-0.0008147113594041038,0.000293125398457,0.005457173547484197
14,institution,10,0.016738,0.016538,0.9000000000000035,0.04000000000000555,0.0004632961936294998,0.09607586327637715
14,retail,20,0.119124,0.1072,0.935256625293526,0.009392821200939372,0.0011678877053782001,0.034953743655832974
15,foreign,75,0.067073,0.05634,1.0001863411907204,-0.0006521941675207367,0.0003996148734585,0.007221311156092842
15,institution,10,0.016945,0.016786,0.8867924528301866,0.0566037735849176,0.00046578189358119967,0.09633611133263675
15,retail,20,0.110414,0.097624,0.9441751368256456,0.014933541829554088,0.0009774193167686948,0.03010313985980839
16,foreign,75,0.066293,0.054986,0.9992924736888652,0.0007075263111347889,0.00021904706954950504,0.003907638056751872
