split,investor,n_test,r2_train_mean,r2_zero
41,institution,197,-0.00016180727823211782,-0.023985588783485223
41,retail,197,0.12678659974018358,0.12601496070892682
42,foreign,194,0.13238514463632556,0.10494630563721552
42,institution,194,0.009728991649013863,-0.0004404081324507203
42,retail,194,0.06151122974506007,0.05408687060658979
43,foreign,197,-0.03161599961676287,-0.0367034659360479
43,institution,197,0.038453467062576574,-0.014174270090088648
43,retail,197,0.06559190079493704,0.060765816485068735
44,foreign,197,-0.24416184010306874,-0.25650583497126367
44,institution,197,0.05194615411638037,0.00995524072323506
44,retail,197,0.034399200635870764,0.017465009001398468
