split,investor,coefficient,exact_lasso,adam,abs_diff
2,foreign,fx_level_z_252,-0.006878405892032004,-0.0070296386256814,0.00015123273364939672
2,institution,momentum,-0.001127785395341645,-0.0011486533330753,2.0867937733654984e-05
2,institution,persist,0.023374583914034245,0.0233089085668325,6.56753472017442e-05
2,institution,underwater,-0.00044880080768614037,-0.0004960076184943,4.7206810808159594e-05
2,institution,momentumxkospi_return_1d,-0.0015850974798198845,-0.0015084203332662,7.667714655368459e-05
2,institution,momentumxfx_level_z_252,0.0,-6.726414721924812e-05,6.726414721924812e-05
2,institution,persistxkospi_return_1d,-0.0,-0.0003008112835232,0.0003008112835232
2,institution,persistxfx_level_z_252,0.0,0.0001593391934875,0.0001593391934875
2,institution,underwaterxkospi_return_1d,0.004833104883895897,0.0048239030875265,9.20179636939699e-06
2,institution,underwaterxfx_level_z_252,0.0021608543094151222,0.0021859456319361,2.5091322520977895e-05
2,institution,kospi_return_1d,-0.014727340013784741,-0.0147164380177855,1.0901995999240341e-05
2,institution,fx_level_z_252,-0.0026635344522936482,-0.0026790641713887,1.552971909505197e-05
2,retail,momentum,-0.02332271284263108,-0.0268830955028533,0.0035603826602222215
2,retail,persist,0.09093324544353114,0.0757251232862472,0.01520812215728394
2,retail,underwater,0.0274039895391053,0.0307045690715312,0.0033005795324259
2,retail,momentumxkospi_return_1d,0.000375373827687553,0.0004036246391478,2.8250811460246987e-05
2,retail,momentumxfx_level_z_252,0.005199139616973558,0.0054132109507918,0.00021407133381824185
2,retail,persistxkospi_return_1d,-0.008207619900863258,-0.0081211263313889,8.649356947435828e-05
2,retail,persistxfx_level_z_252,-0.00028911581322481886,-0.0041473493911325,0.0038582335779076813
2,retail,underwaterxkospi_return_1d,0.00024156072197852597,6.534746717079543e-06,0.00023502597526144642
2,retail,underwaterxfx_level_z_252,-0.022419291710029994,-0.0235208552330732,0.0011015635230432058
2,retail,kospi_return_1d,0.018304029331435906,0.0074840844608843,0.010819944870551606
2,retail,fx_level_z_252,0.013283707596019273,0.0119021339341998,0.001381573661819473
3,foreign,momentum,0.04180829159580118,0.0424996875226497,0.0006913959268485259
3,foreign,persist,0.07559004279747966,0.0743062496185302,0.0012837931789494578
3,foreign,underwater,0.011344140220862005,0.0109841246157884,0.00036001560507360406
3,foreign,momentumxkospi_return_1d,-0.01114555433377647,-0.0116060879081487,0.0004605335743722294
3,foreign,momentumxfx_level_z_252,-0.0014292474743227554,-0.0012033092789351,0.00022593819538765545
3,foreign,persistxkospi_return_1d,0.0025476871553531404,0.0027181559707969,0.00017046881544375983
3,foreign,persistxfx_level_z_252,-0.010690371835117347,-0.0107387695461511,4.839771103375308e-05
3,foreign,underwaterxkospi_return_1d,-0.001134769760837721,-0.0013917317846789,0.00025696202384117893
3,foreign,underwaterxfx_level_z_252,-0.012661570079258219,-0.0125980516895651,6.351838969311831e-05
3,foreign,kospi_return_1d,0.0010297219805118101,0.0012922399910166,0.00026251801050478996
3,foreign,fx_level_z_252,-0.014731868516057211,-0.0148102473467588,7.837883070158959e-05
3,institution,momentum,-0.0017178767947030426,-0.001679950626567,3.792616813604261e-05
3,institution,persist,0.018907473327577806,0.0194168183952569,0.0005093450676790928
3,institution,underwater,-0.0004734016030811517,-0.0004873370344284,1.3935431347248252e-05
3,institution,momentumxkospi_return_1d,-0.0011012392300055642,-0.0011583872837945,5.714805378893568e-05
3,institution,momentumxfx_level_z_252,0.0008379955187226588,0.0008162736194208,2.172189930185883e-05
3,institution,persistxkospi_return_1d,-0.0,-3.426611510803923e-05,3.426611510803923e-05
3,institution,persistxfx_level_z_252,4.6031284575776464e-05,0.0004307508934289,0.00038471960885312357
3,institution,underwaterxkospi_return_1d,0.004430824566315157,0.0044065583497285,2.4266216586656814e-05
3,institution,underwaterxfx_level_z_252,0.002423107552452217,0.0024647358804941,4.162832804188287e-05
3,institution,kospi_return_1d,-0.012937402541667418,-0.0132661061361432,0.00032870359447578247
3,institution,fx_level_z_252,-0.0009964477491336689,-0.0009650955325923,3.135221654136883e-05
3,retail,momentum,-0.02315743574698987,-0.0257413685321807,0.0025839327851908296
3,retail,persist,0.08780107687899981,0.0750642418861389,0.012736834992860907
3,retail,underwater,0.03671721313892663,0.0387297831475734,0.002012570008646769
3,retail,momentumxkospi_return_1d,0.002138669455667484,0.002682875841856,0.0005442063861885163
3,retail,momentumxfx_level_z_252,0.0,-0.0014465313870459,0.0014465313870459
3,retail,persistxkospi_return_1d,-0.00539122846443253,-0.0040701618418097,0.0013210666226228301
3,retail,persistxfx_level_z_252,-0.0,-0.003908724989742,0.003908724989742
3,retail,underwaterxkospi_return_1d,0.0,0.0010958164930343,0.0010958164930343
3,retail,underwaterxfx_level_z_252,-0.03253586162106615,-0.0332089215517044,0.0006730599306382506
3,retail,kospi_return_1d,0.024502690370710272,0.0185157973319292,0.005986893038781072
3,retail,fx_level_z_252,0.02003473989800708,0.0205911565572023,0.0005564166591952198
4,foreign,momentum,0.0381005092553868,0.0381822288036346,8.171954824780225e-05
4,foreign,persist,0.06942775920988417,0.0686466321349144,0.000781127074969773
4,foreign,underwater,0.0058429563135244484,0.0061455094255506,0.0003025531120261519
4,foreign,momentumxkospi_return_1d,-0.010936966898837433,-0.0114420996978878,0.0005051327990503677
4,foreign,momentumxfx_level_z_252,-0.004778727732308039,-0.0045791128650307,0.00019961486727733922
4,foreign,persistxkospi_return_1d,0.005439172693514636,0.0052711176685988,0.00016805502491583618
4,foreign,persistxfx_level_z_252,-0.008612067651613282,-0.0087870033457875,0.00017493569417421743
4,foreign,underwaterxkospi_return_1d,-0.0027524702666184503,-0.0025973769370466,0.00015509332957185052
4,foreign,underwaterxfx_level_z_252,-0.004589625820381182,-0.0049881776794791,0.0003985518590979174
4,foreign,kospi_return_1d,0.008924913075133526,0.0090826135128736,0.00015770043774007356
4,foreign,fx_level_z_252,-0.017648148646557886,-0.0173889715224504,0.0002591771241074875
