date,close,high,low,return,trading_value,foreign_net_buy,institution_net_buy,retail_net_buy,foreign_buy_value,foreign_sell_value,foreign_buy_volume,foreign_sell_volume,institution_buy_value,institution_sell_value,institution_buy_volume,institution_sell_volume,retail_buy_value,retail_sell_value,retail_buy_volume,retail_sell_volume,usdkrw,kospi200_return,vkospi
2019-02-25,47350,47550,47050,0.0042417815482502,354011544900,66124274150,-2369518650,-62257613250,181862360250,115738086100,3844123,2446972,130006802500,132376321150,2749657,2799368,41898792050,104156405300,885789,2201579,1122.31005859375,0.0009004640853362,14.59
2019-02-26,46750,47450,46500,-0.0126715945089757,374675186100,27796370300,-57370715100,29653423300,176922504450,149126134150,3770200,3182278,121288660300,178659375400,2585615,3803828,74792814250,45139390950,1593907,962018,1117.199951171875,-0.003840830449827,14.63
2019-02-27,46750,47250,46750,0.0,377808474774,4727598800,-634552400,-8955053050,177407196224,172679597424,3778966,3680128,156921053200,157555605600,3340610,3353311,38104527250,47059580300,811250,1000869,1114.300048828125,0.0030219875646948,14.54
2019-02-28,45100,46500,45100,-0.0352941176470588,1073228686350,-88600817350,4713908000,84360416500,604905200100,693506017450,13334860,15277400,290340162700,285626254700,6344415,6234096,176098234000,91737817500,3848874,2006160,1115.099975585938,-0.0171768943066905,15.49
2019-03-04,44850,46100,44800,-0.0055432372505542,585692172641,-93555580100,45789756350,41831525900,234331337341,327886917441,5167947,7239557,236393204750,190603448400,5218028,4206272,103237631800,61406105900,2281196,1351811,1126.81005859375,-0.0045454545454546,15.01
2019-03-05,44250,45100,44150,-0.0133779264214046,471638443200,-49198394250,6313489100,42652254550,184866199700,234064593950,4159000,5271224,176616413600,170302924500,3974185,3828011,109015321300,66363066750,2453616,1492718,1128.150024414062,-0.00729177728222,14.75
2019-03-06,44000,44300,43700,-0.0056497175141242,447977041138,20274641800,-33599987650,-437151100,211788179088,191513537288,4821450,4360114,135891306600,169491294250,3096075,3860706,85958075950,86395227050,1958942,1968596,1126.199951171875,-0.0021394187912282,14.53
2019-03-07,44450,44950,43400,0.0102272727272727,490121520107,1267922050,5043447350,-6081181950,218723410807,217455488757,4929082,4915617,193942877300,188899429950,4370010,4249045,77133993500,83215175450,1743427,1872671,1127.0,-0.0035018760050027,14.55
2019-03-08,43800,44800,43800,-0.014623172103487,340351298588,-31557926050,9091675850,25182960950,113592811688,145150737738,2580367,3298702,154844725800,145753049950,3515777,3307739,71498928000,46315967050,1623508,1051405,1133.069946289062,-0.014451177968229,15.17
2019-03-11,43650,44450,43650,-0.0034246575342465,471357939175,-60989971100,46147969150,13217957600,233558012325,294547983425,5303799,6694694,174792031500,128644062350,3978177,2927749,61207093350,47989135750,1394419,1090931,1134.06005859375,0.0008004657255131,15.58
2019-03-12,44650,44950,44150,0.0229095074455898,508997113650,54891066450,70315901650,-76841637250,243427327200,188536260750,5469473,4236215,223210811850,152894910200,5011327,3432405,42188205900,119029843150,947329,2675993,1130.77001953125,0.0097069730240675,14.6
2019-03-13,43850,44450,43700,-0.0179171332586786,356447378500,-8105619850,-41750181150,50383436150,148081819200,156187439050,3368992,3552305,126444583400,168194764550,2875574,3826653,80839530450,30456094300,1839128,692784,1127.27001953125,-0.0062290714002809,14.79
2019-03-14,43850,44300,43550,0.0,789951149450,-63099937450,6485778900,56159069900,285207645900,348307583350,6510456,7956539,419052844000,412567065100,9568331,9418696,83776356200,27617286300,1916589,630647,1129.589965820312,0.0023188405797101,13.96
2019-03-15,44200,44250,43700,0.0079817559863168,740350091250,-153305241100,165729066500,-12817960100,375776371100,529081612200,8520002,12010147,315244151200,149515084700,7170842,3400617,46233108150,59051068250,1052761,1342209,1135.420043945312,0.0116758241758241,13.6
2019-03-18,43700,44150,43450,-0.01131221719457,357784123950,-125887466400,59499509000,63321171350,82804768800,208692235200,1894758,4774566,170836819050,111337310050,3910156,2549599,99849924650,36528753300,2285819,836604,1132.72998046875,0.0002143852502947,13.9
2019-03-19,43900,43900,43550,0.0045766590389015,333042841600,22874937850,-27259716250,5138015400,196910675400,174035737550,4497377,3975897,97403009950,124662726200,2226644,2849120,38333065600,33195050200,876497,758292,1131.199951171875,-0.0003929553817025,13.6
2019-03-20,44050,44200,43100,0.0034168564920273,429486262650,-46595248200,29709393700,18388756800,191344275900,237939524100,4383363,5451525,149960088800,120250695100,3436980,2765048,86400464600,68011707800,1985001,1554919,1129.719970703125,0.0003573725966694,13.95
2019-03-21,45850,46250,44050,0.0408626560726448,966296342038,194447046850,40056309300,-234477712700,501980841288,307533794438,10979405,6731791,320021237600,279964928300,7000359,6119963,138290361750,372768074450,3026929,8154997,1125.0,0.008788225207202,13.48
2019-03-22,46550,47000,46250,0.0152671755725191,583256207100,114235386700,-62608434150,-61568696100,277411140100,163175753400,5959728,3507076,177545468900,240153903050,3817131,5162751,116506276300,178074972400,2505327,3826203,1127.77001953125,0.002655995467101,13.1
2019-03-25,45500,45650,44800,-0.0225563909774436,394433133810,12147075100,-46664271350,9418045900,156121264360,143974189260,3439611,3173285,119717422450,166381693800,2641856,3671419,90838470600,81420424700,2007613,1796290,1135.140014648438,-0.020061455868329,15.06
2019-03-26,45250,45700,44900,-0.0054945054945054,440019808489,51864068800,-60334772300,6359397650,234864831939,183000763139,5192048,4046818,143826235600,204161007900,3181549,4513948,57750391400,51390993750,1277118,1136648,1133.849975585938,0.0005406379527843,14.82
2019-03-27,45350,45600,44250,0.0022099447513812,430843286900,-23485740800,46449097300,-21354355800,141317507650,164803248450,3133737,3663651,199054782450,152605685150,4420249,3389019,90267424800,111621780600,2009519,2475343,1133.930053710938,-0.0011527377521615,14.67
2019-03-28,44850,45200,44300,-0.0110253583241455,306038310100,47378336050,-38681589150,-7984109900,145961391500,98583055450,3253164,2197473,117607255950,156288845100,2619738,3484276,42403342500,50387452400,946922,1122236,1138.5,-0.0079342181188689,14.92
2019-03-29,44650,44900,44200,-0.0044593088071348,511623621750,-44180552900,14273538350,28426365150,247846583600,292027136500,5560409,6559780,174348178900,160074640550,3919701,3594677,87022722250,58596357100,1957608,1316529,1134.319946289062,0.0050894285298823,14.29
2019-04-01,45050,45450,44850,0.0089585666293392,332300460800,9708332200,17299663250,-25598769000,154865743900,145157411700,3431081,3217396,130782296150,113482632900,2897796,2514095,45924611950,71523380950,1017146,1583315,1132.670043945312,0.0138888888888888,13.73
2019-04-02,45750,46100,45350,0.0155382907880132,433628262650,140512794100,-59480846250,-55845711550,257364360450,116851566350,5626740,2556046,135171855000,194652701250,2955639,4255472,38305818550,94151530100,837511,2056799,1136.390014648438,0.004994292237443,13.34
2019-04-03,46600,46750,45800,0.0185792349726776,576545187625,73738755600,58549081050,-127607374850,256480462125,182741706525,5525002,3941084,256950446950,198401365900,5546865,4285356,60581234450,188188609300,1309840,4054679,1133.530029296875,0.0139500212977423,13.29
2019-04-04,46950,47100,46150,0.007510729613734,591478058953,105356296900,57911246950,-162354364100,299350386803,193994089903,6404269,4159635,234812592400,176901345450,5018732,3780805,56153471400,218507835500,1202103,4665421,1134.300048828125,0.0017503938386136,13.6
2019-04-05,46850,47550,46600,-0.0021299254526091,401643883300,43682673400,28393828350,-71277471600,147053959750,103371286350,3127871,2202546,170726379550,142332551200,3634812,3030218,82982182350,154259653950,1764897,3277914,1134.300048828125,0.0018521754324656,13.59
2019-04-08,46650,47250,46150,-0.0042689434364994,397148497800,73716737300,-51466102050,-22025791250,192266736650,118549999350,4112449,2537201,152592105600,204058207650,3273820,4374373,50662319250,72688110500,1086798,1556611,1141.109985351562,-0.0010464629552113,13.15
2019-04-09,46650,46950,46200,0.0,320647245000,58324986750,-33977336950,-24070632000,163312221200,104987234450,3501090,2252040,129344522500,163321859450,2775761,3504350,27443242200,51513874200,590111,1104707,1140.099975585938,0.0011523151058034,12.67
2019-04-10,46700,46700,46050,0.0010718113612004,550967366221,-34048452800,51012785600,-16500095950,271257516721,305305969521,5842119,6583602,231269862000,180257076400,4995209,3890255,48151173450,64651269400,1040413,1393866,1135.900024414062,0.0042202922813994,30.4
2019-04-11,46250,46800,46150,-0.0096359743040684,634752144300,81979005600,-104172546650,21587808750,264526945400,182547939800,5709795,3934297,304705678000,408878224650,6574418,8829239,64368578300,42780769550,1388326,922088,1140.989990234375,-0.0017365934981939,12.29
2019-04-12,46850,46900,46000,0.012972972972973,357084147550,91032340700,-54181080950,-35631668600,178654691350,87622350650,3832901,1882882,145704153600,199885234550,3132510,4293857,32344638250,67976306850,695356,1457818,1140.989990234375,0.0033052675527103,12.41
2019-04-15,47050,47500,47000,0.0042689434364995,412633207600,84590543700,-26222011450,-59436218800,167709704700,83119161000,3551023,1761055,148305252250,174527263700,3138301,3694251,94571105300,154007324100,2000443,3256977,1133.199951171875,0.0035024447758087,12.92
2019-04-16,47250,47400,46800,0.004250797024442,364272720183,75631937250,-47590436500,-29444510450,227645800733,152013863483,4827719,3225872,105679152200,153269588700,2245270,3252793,28840394500,58284904950,613012,1237311,1135.699951171875,0.0042850231529476,12.66
2019-04-17,47050,47600,47000,-0.0042328042328042,260238026450,4916189850,439234600,-4591404650,94467425750,89551235900,2001261,1899431,118675857750,118236623150,2514672,2504918,46535762000,51127166650,985888,1081410,1130.199951171875,-0.0009978666299635,12.65
2019-04-18,45600,47250,45500,-0.030818278427205,589351882300,-122168745800,8740817150,101137625500,199896085650,322064831450,4352135,7014747,188575796050,179834978900,4093011,3896333,185044395250,83906769750,4018982,1820424,1136.109985351562,-0.0155340474632315,12.85
2019-04-19,45300,46000,45250,-0.006578947368421,386062293847,-109998277550,13046725550,89697367800,99391317047,209389594597,2180806,4599389,133828268250,120781542700,2939830,2651675,145095253350,55397885550,3188611,1217783,1136.109985351562,0.0002449093835281,12.45
