date,close,return,trading_value,foreign_net_buy,institution_net_buy,retail_net_buy,usdkrw,kospi200_return
2023-11-15,72200,0.0197740112994351,1449276387300,329495837200,373078551900,-693752684100,1304.239990234375,0.022629145359341
2023-11-16,72800,0.0083102493074791,1151617384100,354922827800,-19684146400,-330268006700,1301.8599853515625,0.0010480297041561
2023-11-17,72500,-0.0041208791208791,834898662931,196411490700,-37041281100,-150362399200,1292.449951171875,-0.0067302802787831
2023-11-20,72700,0.0027586206896552,771287990300,37294194600,122443190900,-156320084300,1294.5,0.0065349635608022
2023-11-21,72800,0.0013755158184318,709805470200,79908767400,16931100600,-93751384600,1288.1500244140625,0.0070011668611433
2023-11-22,72800,0.0,803720395300,161829002700,-115854800400,-42866721200,1295.18994140625,0.0007130760317319
2023-11-23,72400,-0.0054945054945054,491571923100,27793771600,-47275980800,19209801500,1298.7900390625,0.0002969032985957
2023-11-24,71700,-0.0096685082872928,481177295325,-39238215500,11161387000,28704207100,1300.1800537109375,-0.0086373215398771
2023-11-27,71300,-0.00557880055788,651549770446,-83592279200,61582872600,20341741700,1289.7900390625,-0.0009880239520957
2023-11-28,72700,0.0196353436185132,958103901900,40254855800,136541696400,-175196383500,1302.530029296875,0.0115383462702669
2023-11-29,72700,0.0,673194221670,165939353100,-113505270100,-50628459400,1287.530029296875,-0.0026665086513391
2023-11-30,72800,0.0013755158184318,1146427486200,-62991276400,88434628800,-21946060800,1288.3599853515625,0.0053769829481313
2023-12-01,72000,-0.0109890109890109,710939612000,-16305027500,-64395670000,78995989200,1296.6600341796875,-0.0107259994681322
2023-12-04,72600,0.0083333333333333,743359507480,110906129300,28767012400,-137463221000,1299.18994140625,0.0040023894862604
2023-12-05,71200,-0.0192837465564738,867872449160,-67712756400,-75737062900,141197428600,1307.800048828125,-0.0097875885047895
2023-12-06,71700,0.0070224719101124,583710472300,40338517900,42145876400,-79229637700,1313.3699951171875,0.0018026137899953
2023-12-07,71500,-0.00278940027894,633465543300,108150127900,-103752207900,-3906640900,1313.719970703125,-0.0023391812865496
2023-12-08,72600,0.0153846153846153,787230063800,101343397200,159402334600,-261516888900,1312.760009765625,0.0118135088826765
2023-12-11,73000,0.0055096418732782,716958458106,97631513800,35485675200,-132873117700,1316.510009765625,0.0039512774806891
2023-12-12,73500,0.0068493150684931,1009135202511,14903971600,252596384100,-260583499900,1313.6199951171875,0.0054449146272896
2023-12-13,72800,-0.0095238095238094,959555544232,-44466628500,71420627200,-30922601100,1310.1400146484375,-0.0090943873796979
2023-12-14,73100,0.0041208791208791,2025359793240,203685083200,-40421328800,-166251671600,1292.010009765625,0.0138113342045858
2023-12-15,73300,0.0027359781121751,1134484297093,100923914600,44443010000,-129593328700,1291.9200439453125,0.0077930448539538
2023-12-18,72900,-0.0054570259208731,708307183627,12362742500,-82392806800,67269291900,1276.469970703125,-0.0014244600133724
2023-12-19,73400,0.0068587105624142,650825104900,-38080697800,88312657800,-46478481200,1302.9300537109375,0.0013100436681221
2023-12-20,74800,0.0190735694822887,1253492249200,148139688500,370997538800,-508879800900,1297.760009765625,0.0179095798807966
2023-12-21,75000,0.0026737967914438,1006935676000,200870039700,75035528900,-275105558000,1296.97998046875,-0.0037988060895148
2023-12-22,75900,0.012,1100293343120,149577837800,185609858700,-334174054800,1291.7099609375,0.0010608406445324
2023-12-26,76600,0.0092226613965744,1005443436300,37181286700,303008167200,-332428660700,1294.5799560546875,0.0036660461119863
2023-12-27,78000,0.0182767624020887,1600118111700,320387185300,-85568690500,-228635486300,1293.9200439453125,0.0057928830294209
2023-12-28,78500,0.0064102564102563,1388290767300,85937155800,221751623600,-245386105800,1294.760009765625,0.0156897236565851
2024-01-02,79600,0.0140127388535031,1356958225913,182974012300,45093469200,-225954307900,1293.5400390625,0.0071510377384842
2024-01-03,77000,-0.0326633165829145,1691690834824,30127750000,-302812522300,278867901900,1307.6199951171875,-0.0259326029676882
2024-01-04,76600,-0.0051948051948051,1173912901977,48848576400,-190981455800,141452128500,1309.530029296875,-0.0089123006833712
2024-01-05,76600,0.0,866836486100,-41292683100,-80547510800,118620556800,1311.25,-0.0024420375211882
2024-01-08,76500,-0.0013054830287205,852681337648,47025035000,-106207934300,54424224400,1313.1300048828125,-0.0047232302286736
2024-01-09,74700,-0.0235294117647059,1971736955597,-100549687800,-93892117000,183900676300,1311.800048828125,-0.00512182417964
2024-01-10,73600,-0.0147255689424363,1497565371180,-99843210100,-75688229400,171893948900,1319.7900390625,-0.0091620371716936
2024-01-11,73200,-0.0054347826086956,4206812650490,1686454034811,-2273991610611,577530276700,1317.5,-0.001115481711971
2024-01-12,73100,-0.0013661202185791,956811865637,-29913616400,-55203048600,81842355000,1311.989990234375,-0.0060538380157515
2024-01-15,73900,0.0109439124487005,973180055524,59827862100,19801773300,-82131642600,1312.8499755859375,0.0030157885400035
2024-01-16,72600,-0.0175913396481731,1075976773200,-53969698600,-110781823400,162002571000,1319.7099609375,-0.0132944228274967
2024-01-17,71000,-0.0220385674931129,1627050948220,-258437476100,-38182587400,251820563600,1337.7900390625,-0.0257520987064201
2024-01-18,71700,0.0098591549295774,1274268001300,-61305585100,3886468000,52909678400,1344.050048828125,0.0031277789702861
2024-01-19,74700,0.0418410041841004,1729032665716,479002954600,-38198111400,-426424880800,1337.6600341796875,0.0179133677742793
2024-01-22,75100,0.0053547523427042,1484936123888,137244424700,-12373859400,-130368252100,1333.2099609375,-0.0010811135469533
2024-01-23,75200,0.0013315579227697,1109206848800,94053040200,-10062693300,-82354401900,1338.739990234375,0.0070348435198268
2024-01-24,74000,-0.0159574468085106,950729770400,-13254172100,-68505558000,79446839500,1336.780029296875,-0.0050750813505688
2024-01-25,74100,0.0013513513513514,870261519556,61085547700,-6697241900,-54341486800,1329.8900146484375,0.0015903021574099
2024-01-26,73400,-0.0094466936572199,824499022832,60187417500,-58405385500,-1451239500,1336.030029296875,0.0012282804074295
2024-01-29,74400,0.0136239782016349,1040949182849,220457640000,-30992551000,-185262766500,1336.760009765625,0.0108614344274557
2024-01-30,74300,-0.0013440860215053,910103102143,-45402918300,1063003100,45085918500,1333.2099609375,-0.0010655931802034
2024-01-31,72700,-0.0215343203230148,1148592184077,-98442017000,-93194906600,187430486100,1326.6199951171875,-0.003674291809885
2024-02-01,73600,0.0123796423658872,1460989435744,375990585000,-321376557800,-52587016900,1333.9100341796875,0.0183499881037354
2024-02-02,75200,0.0217391304347827,1116696087686,139609326200,148956932600,-287059646400,1328.949951171875,0.03218363949651
2024-02-05,74300,-0.011968085106383,1407991610817,144159965900,-365660756800,218150295700,1337.72998046875,-0.0121098944628357
2024-02-06,74400,0.0013458950201883,1079406742676,24310273200,-36460602700,10328855000,1333.3900146484375,-0.0038665330087354
2024-02-07,75000,0.0080645161290322,1241375169523,55840153500,115085642400,-166148815500,1326.7900390625,0.0127947096032201
2024-02-08,74100,-0.012,1545421527910,-364864144700,95226772700,265573461400,1327.6199951171875,0.0029524485450673
2024-02-13,75200,0.0148448043184885,1645918689800,81403328500,197070505500,-271969584400,1328.5,0.0115768915055618
2024-02-14,74000,-0.0159574468085106,920046681339,-124739742700,-180874446100,302358875200,1340.7900390625,-0.0131232861380043
2024-02-15,73000,-0.0135135135135134,1037048777500,-123491553100,-150686380700,268490927600,1326.0,-0.0041963197141966
2024-02-16,72800,-0.0027397260273972,979246120166,-24230564400,-57875538600,78705774600,1327.6600341796875,0.0122718601406566
2024-02-19,73800,0.0137362637362636,936829110513,138128065000,41897025500,-171459019100,1331.5799560546875,0.015076507650765
2024-02-20,73300,-0.0067750677506774,1074233851920,22354771500,-92319453100,66843334900,1333.3399658203125,-0.0109731766792284
2024-02-21,73000,-0.0040927694406548,841682946896,-57370236000,-3100722200,37765419300,1333.75,-0.0024655384960214
2024-02-22,73100,0.0013698630136986,1111907697100,-155511267300,10821968900,130241120800,1332.8699951171875,0.0045781372879452
2024-02-23,72900,-0.002735978112175,1189838938900,-105442503300,97928236000,9477744200,1327.1700439453125,0.0025162859619201
2024-02-26,72800,-0.0013717421124828,1067725992988,60691608400,-2797593600,-18076256200,1330.0,-0.0086175642134032
2024-02-27,72900,0.0013736263736263,963297077300,33014193000,-50122824400,-3341165000,1331.719970703125,-0.0076516259705188
2024-02-28,73200,0.0041152263374486,866532716548,17712145600,24037488000,-55346877200,1331.7900390625,0.0114241977548474
2024-02-29,73400,0.0027322404371583,1543929097874,95211005200,-177154162600,81825528400,1333.3800048828125,-0.0034193783458057
2024-03-04,74900,0.0204359673024523,1730190362362,240450152500,52873457700,-294358553600,1330.9000244140625,0.0155524931799646
2024-03-05,73700,-0.0160213618157543,1446710162593,23115125700,-100597696500,73721095100,1328.93994140625,-0.0097202990861258
2024-03-06,72900,-0.010854816824966,1577128384469,-231913458300,-49941984800,281910129100,1333.4300537109375,-0.0037473083699207
2024-03-07,72200,-0.00960219478738,1054959751460,-311658535200,6248748500,292617432400,1327.0899658203125,0.0016
2024-03-08,73300,0.0152354570637118,1406734002184,-116303066900,244278147800,-128489227100,1321.1800537109375,0.0137043887674457
2024-03-11,72400,-0.0122783083219645,707795779500,-121585056600,-34130436300,142963177600,1315.97998046875,-0.0093168560448978
2024-03-12,73300,0.0124309392265193,946370610204,-174890223300,214773937600,-48195405900,1310.5400390625,0.0077300887425351
2024-03-13,74100,0.0109140518417463,1126213362951,244667119300,68749893200,-313565714000,1311.1500244140625,0.0053446318296364
2024-03-14,74300,0.0026990553306343,1672983915400,10180654700,125062328400,-142254722300,1313.6500244140625,0.0100264433671219
2024-03-15,72300,-0.0269179004037685,1646273148384,-507548239900,3815743100,487597548200,1321.9200439453125,-0.0198810952329007
2024-03-18,72800,0.0069156293222683,837895575620,-58040349500,-17073847100,66598615700,1329.3399658203125,0.0053423857091183
2024-03-19,72800,0.0,1109067418300,40409107700,-208958203300,164670093400,1336.0899658203125,-0.0110154714787855
2024-03-20,76900,0.0563186813186813,3799218645198,909975002200,647369009400,-1510496215100,1337.02001953125,0.0167632160747768
2024-03-21,79300,0.0312093628088425,3509987699100,1062086205000,498654033400,-1542297256600,1330.1099853515625,0.0284597599911924
2024-03-22,78900,-0.0050441361916772,2104543621700,348622179000,-31398037800,-328909974500,1334.6800537109375,-0.0027029920248355
2024-03-25,78200,-0.008871989860583,1472206590003,80912094600,-88120570900,8219917500,1343.5999755859375,-0.0051522876693947
2024-03-26,79900,0.0217391304347827,2435792962320,473531834600,198083799100,-641936563800,1339.1300048828125,0.0104388638631889
2024-03-27,79800,-0.0012515644555695,1387268449298,9355753500,129834354400,-142474742600,1343.06005859375,-0.001388147357181
2024-03-28,80800,0.0125313283208019,2014951562108,401221103500,103035995500,-505668352000,1349.800048828125,-0.0022989734816081
2024-03-29,82400,0.0198019801980198,2224901311700,639385760800,33830192800,-667992741100,1349.800048828125,0.003777932586678
2024-04-01,82000,-0.0048543689320388,1661276148500,96257860300,-9736170400,-106169706800,1355.530029296875,-0.00093425513173
2024-04-02,85000,0.0365853658536585,3125936951369,1001894998800,-25828962000,-934305266000,1350.72998046875,0.0055039008229134
2024-04-03,84100,-0.0105882352941176,2570591804242,210040186800,-269992866900,58778790500,1344.8399658203125,-0.0175904766966039
2024-04-04,85300,0.014268727705113,2147309658606,367421654300,62881199400,-419679868200,1351.3599853515625,0.0159309747917342
2024-04-05,84500,-0.0093786635404454,1593633428500,73670760500,-154227261600,88862149400,1351.3599853515625,-0.0107558371715343
2024-04-08,84500,0.0,1614571568700,199937656800,-127683215200,-58158176300,1354.219970703125,0.0025298059585003
2024-04-09,83600,-0.0106508875739644,1991486775844,424493447300,-443082878700,7026224900,1348.5400390625,-0.0060132613889559
2024-04-11,84100,0.005980861244019,2138954129378,562618484400,-488364920900,-72216214700,1367.8399658203125,0.0012153293542551
2024-04-12,83700,-0.004756242568371,1429686717552,64758282300,-168569670700,107548998700,1367.8399658203125,-0.0093601640051791
2024-04-15,82200,-0.0179211469534049,2187767452704,-72375515000,-77749285000,147145705900,1387.6700439453125,-0.0052825051055139
2024-04-16,80000,-0.0267639902676398,2564077294862,106987428000,-121003337700,17704114900,1387.3399658203125,-0.023651145602365
2024-04-17,78900,-0.01375,1800985510820,-144551250600,-16810306200,159833393100,1379.5400390625,-0.0108784030055794
2024-04-18,79600,0.0088719898605829,1694196738983,75849364900,-50973936300,-32551611200,1379.4000244140625,0.017772612602398
